<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94300,177.49,177.49,176.42,176.71,393
20200804,94400,176.73,177.14,176.42,177.13,330
20200804,94500,177.05,177.05,176.79,176.79,305
20200804,94600,177.1,177.5,176.99,177.2,677
20200804,94700,177.5,177.79,177.29,177.77,1456
20200804,94800,177.6,177.73,177.24,177.5,592
20200804,94900,177.41,177.66,177.38,177.4,360
20200804,95000,177.4,177.62,177.3,177.3,427
20200804,95100,177.23,177.23,176.4,176.49,226
20200804,95200,176.49,176.49,176.01,176.27,316
20200804,95300,176.53,176.99,176.52,176.99,287
20200804,95400,176.85,177.39,176.48,176.51,425
20200804,95500,176.52,176.83,176.44,176.44,250
20200804,95600,176.4,176.45,176.19,176.37,153
20200804,95700,176.23,176.57,176.2,176.56,237
20200804,95800,176.6,177.08,176.39,176.92,146
20200804,95900,176.7,176.85,176.6,176.79,155
20200804,100000,176.79,176.79,176.6,176.62,132
20200804,100100,176.63,176.63,176.55,176.63,58
20200804,100200,176.77,177.3,176.54,177.2,554
20200804,100300,177.29,177.58,177.25,177.43,824
20200804,100400,177.3,177.69,177.13,177.45,776
20200804,100500,177.44,177.66,177.2,177.2,362
20200804,100600,177.2,177.48,177.16,177.4,306
20200804,100700,177.4,177.4,176.63,176.98,130
20200804,100800,176.65,177.01,176.65,176.99,710
20200804,100900,177.21,177.4,176.99,177.18,408
20200804,101000,177.0,177.38,177.0,177.25,375
20200804,101100,177.25,177.25,176.63,176.96,459
20200804,101200,176.76,177.24,176.76,177.0,646
20200804,101300,177.0,177.3,177.0,177.3,221
20200804,101400,177.28,177.5,177.28,177.5,363
20200804,101500,177.51,177.61,177.39,177.39,462
20200804,101600,177.16,177.4,177.16,177.4,634
20200804,101700,177.4,177.47,177.2,177.2,70
20200804,101800,177.24,177.58,177.24,177.57,517
20200804,101900,177.57,177.78,177.4,177.78,479
20200804,102000,177.78,177.8,177.67,177.79,2692
20200804,102100,177.79,177.8,177.7,177.8,4742
20200804,102200,177.72,177.8,177.7,177.71,582
20200804,102300,177.46,177.55,177.32,177.55,213
20200804,102400,177.55,177.74,177.55,177.74,665
20200804,102500,177.55,177.74,177.5,177.5,718
20200804,102600,177.16,177.4,177.16,177.16,649
20200804,102700,177.2,177.4,177.05,177.34,826
20200804,102800,177.33,177.5,177.01,177.01,762
20200804,102900,177.38,177.38,177.09,177.09,260
20200804,103000,177.13,177.34,177.13,177.19,237
20200804,103100,177.34,177.5,177.2,177.24,134
20200804,103200,177.23,177.34,177.0,177.0,467
20200804,103300,176.67,176.81,176.43,176.66,385
20200804,103400,176.66,177.38,176.66,177.2,322
20200804,103500,177.13,177.4,177.0,177.22,273
20200804,103600,177.4,177.72,177.4,177.64,591
20200804,103700,177.64,177.81,177.54,177.81,6599
20200804,103800,177.9,178.3,177.76,177.83,4138
20200804,103900,177.89,178.45,177.88,178.12,1167
20200804,104000,178.12,178.78,178.12,178.7,1381
20200804,104100,178.77,179.7,178.77,179.31,2646
20200804,104200,179.4,180.02,179.0,179.34,2646
20200804,104300,179.23,179.56,178.66,179.56,1082
20200804,104400,179.68,179.68,178.68,178.95,707
20200804,104500,179.22,179.39,178.86,179.1,255
20200804,104600,179.12,179.2,179.03,179.03,358
20200804,104700,179.03,181.18,178.92,181.18,1761
20200804,104800,181.17,182.75,180.81,181.25,2156
20200804,104900,181.49,181.78,181.02,181.04,1145
20200804,105000,181.04,181.04,180.6,180.7,584
20200804,105100,180.7,180.95,179.01,180.02,699
20200804,105200,179.95,180.2,179.58,180.2,622
20200804,105300,180.04,180.13,179.22,179.43,471
20200804,105400,179.43,179.5,179.26,179.31,273
20200804,105500,179.3,179.51,179.11,179.51,816
20200804,105600,179.7,179.75,179.54,179.74,335
20200804,105700,179.81,180.1,179.71,179.71,917
20200804,105800,179.74,179.79,179.26,179.75,773
20200804,105900,179.7,180.0,179.45,179.95,1468
20200804,110000,179.91,179.91,179.61,179.66,329
20200804,110100,179.85,180.2,179.85,179.99,462
20200804,110200,179.99,180.04,179.27,179.27,439
20200804,110300,179.39,179.41,178.53,178.78,299
20200804,110400,178.59,178.65,177.98,177.98,546
20200804,110500,178.0,178.75,178.0,178.75,519
20200804,110600,178.62,178.7,178.36,178.5,497
20200804,110700,178.82,178.82,178.51,178.69,329
20200804,110800,178.82,178.82,178.4,178.5,354
20200804,110900,178.36,178.43,177.76,178.0,455
20200804,111000,178.21,178.68,178.08,178.4,288
20200804,111100,178.4,178.4,178.11,178.16,295
20200804,111200,178.16,178.7,178.16,178.67,545
20200804,111300,178.67,178.69,178.42,178.45,338
20200804,111400,178.42,178.8,178.42,178.67,267
20200804,111500,178.78,178.78,178.6,178.66,220
20200804,111600,178.5,178.62,178.3,178.3,239
20200804,111700,178.24,178.98,178.24,178.98,413
20200804,111800,178.99,179.3,178.3,178.43,744
20200804,111900,178.23,178.72,178.23,178.64,330
20200804,112000,178.67,178.67,178.4,178.65,451
20200804,112100,178.42,178.57,178.23,178.45,625
20200804,112200,178.38,178.52,178.3,178.4,464
20200804,112300,178.4,179.12,178.4,179.03,1041
20200804,112400,179.12,179.12,178.96,179.1,1117
20200804,112500,179.05,179.3,179.02,179.02,511
20200804,112600,179.02,179.02,178.7,178.7,262
20200804,112700,178.67,178.73,178.5,178.56,256
20200804,112800,178.64,178.64,178.4,178.4,363
20200804,112900,178.38,178.8,178.38,178.71,339
20200804,113000,178.75,179.28,178.75,178.99,257
20200804,130100,178.98,180.0,178.9,178.9,2008
20200804,130200,179.0,179.78,178.9,179.5,950
20200804,130300,179.0,179.37,178.67,179.06,397
20200804,130400,179.07,179.74,179.0,179.4,522
20200804,130500,179.42,179.42,178.97,178.97,369
20200804,130600,179.01,179.5,179.01,179.15,513
20200804,130700,179.15,179.27,179.1,179.25,208
20200804,130800,179.26,179.39,179.0,179.29,329
20200804,130900,179.22,179.5,179.1,179.5,1155
20200804,131000,179.5,179.7,179.3,179.69,2543
20200804,131100,179.71,180.19,179.69,180.01,2718
20200804,131200,180.25,181.0,179.79,179.87,2797
20200804,131300,179.99,180.2,179.7,179.7,1558
20200804,131400,179.7,180.27,179.5,179.5,1938
20200804,131500,179.76,180.0,179.7,179.8,1221
20200804,131600,179.69,179.69,179.49,179.49,727
20200804,131700,179.41,179.5,179.21,179.41,574
20200804,131800,179.47,179.87,179.47,179.49,283
20200804,131900,179.42,179.5,178.6,178.81,717
20200804,132000,178.6,179.23,178.6,179.15,658
20200804,132100,179.13,179.13,178.56,178.69,842
20200804,132200,178.68,178.68,177.5,177.71,909
20200804,132300,177.71,178.23,177.68,178.0,731
