<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200803,144500,115.89,115.89,115.81,115.81,172
20200803,144600,115.98,116.08,115.91,116.08,32
20200803,144700,115.9,116.08,115.9,116.0,716
20200803,144800,116.0,116.0,115.82,115.82,569
20200803,144900,115.9,115.9,115.76,115.8,483
20200803,145000,115.99,115.99,115.81,115.81,565
20200803,145100,115.87,115.97,115.81,115.81,223
20200803,145200,115.81,115.86,115.8,115.86,241
20200803,145300,115.94,115.94,115.81,115.94,86
20200803,145400,115.81,115.87,115.68,115.87,467
20200803,145500,115.71,115.83,115.71,115.71,82
20200803,145600,115.79,115.8,115.78,115.8,176
20200803,145700,115.71,115.79,115.68,115.71,92
20200803,145800,115.79,115.79,115.79,115.79,6
20200803,145900,115.71,115.72,115.68,115.68,33
20200803,150000,115.69,115.85,115.69,115.75,70
20200804,93100,116.01,116.01,115.76,115.76,325
20200804,93200,115.76,115.76,115.55,115.73,334
20200804,93300,116.01,116.01,115.77,115.93,54
20200804,93400,115.97,115.97,115.78,115.93,217
20200804,93500,115.77,115.77,115.64,115.67,45
20200804,93600,115.57,115.57,115.55,115.55,56
20200804,93700,115.72,115.94,115.72,115.73,177
20200804,93800,115.6,115.83,115.6,115.61,44
20200804,93900,115.76,115.76,115.75,115.75,24
20200804,94000,115.76,115.93,115.75,115.75,72
20200804,94100,115.88,115.88,115.66,115.66,69
20200804,94200,115.67,115.74,115.62,115.7,66
20200804,94300,115.67,115.67,115.6,115.6,132
20200804,94400,115.64,115.73,115.6,115.66,112
20200804,94500,115.65,115.65,115.59,115.59,164
20200804,94600,115.59,115.63,115.25,115.27,319
20200804,94700,115.27,115.43,115.27,115.43,11
20200804,94800,115.28,115.77,115.28,115.77,222
20200804,94900,115.7,115.76,115.54,115.54,152
20200804,95000,115.54,115.66,115.38,115.66,77
20200804,95100,115.66,115.66,115.66,115.66,1
20200804,95200,115.52,115.53,115.39,115.39,105
20200804,95300,115.47,115.58,115.4,115.5,63
20200804,95400,115.45,115.54,115.45,115.45,43
20200804,95500,115.5,115.52,115.5,115.5,65
20200804,95600,115.5,115.5,115.42,115.44,94
20200804,95700,115.44,115.5,115.44,115.45,36
20200804,95800,115.42,115.5,115.41,115.5,91
20200804,95900,115.52,115.63,115.44,115.45,85
20200804,100000,115.43,115.59,115.43,115.59,3
20200804,100100,115.43,115.59,115.43,115.44,15
20200804,100200,115.5,115.55,115.4,115.4,47
20200804,100300,115.55,115.55,115.4,115.4,5
20200804,100400,115.55,115.55,115.27,115.27,179
20200804,100500,115.33,115.4,115.3,115.3,16
20200804,100600,115.32,115.48,115.32,115.32,7
20200804,100700,115.33,115.41,115.28,115.28,135
20200804,100800,115.35,115.36,115.27,115.27,96
20200804,100900,115.39,115.39,115.1,115.26,511
20200804,101000,115.27,115.27,115.1,115.1,119
20200804,101100,115.25,115.25,115.16,115.16,6
20200804,101200,115.24,115.24,115.1,115.1,17
20200804,101300,115.22,115.22,114.8,115.0,1977
20200804,101400,115.0,115.0,114.92,114.92,33
20200804,101500,114.99,115.01,114.86,115.01,101
20200804,101600,115.05,115.05,114.88,114.88,65
20200804,101700,114.99,115.08,114.93,115.02,75
20200804,101800,114.9,115.0,114.9,115.0,57
20200804,101900,114.92,114.92,114.81,114.81,80
20200804,102000,114.81,114.92,114.81,114.92,54
20200804,102100,114.83,114.88,114.83,114.88,6
20200804,102200,114.82,114.88,114.82,114.83,25
20200804,102300,114.89,114.89,114.82,114.82,39
