amount,chg,close,close_diff,dea,dea_chng_pct,dif,dif_chng_pct,ema_12,ema_26,high,low,macd,macd_chng_pct,open,percent,pre_dea,pre_dif,pre_macd,pre_macd_chng_pct,rsi12,rsi24,rsi6,volume,volume_chng,volume_diff
2.7652096174657697,-0.18,163.3,-0.1799999999999784,0.04012918659715174,0.04736840822163008,0.04738873606385141,-0.12072566476911988,1.0001633162572126,0.9998731219151192,163.48,163.3,0.014519098933399338,-0.5340762046971383,163.48,-0.11,0.03831429923047683,0.05389527951069795,0.031161960560442237,0.7971687895378536,0.290438281865108,0.31933398201961966,0.32973762306279514,-0.18,-1.6923076923076923,-0.44
3.4861663042663267,-0.14,163.16,-0.14000000000001478,0.038219925896683146,-0.04757785697565347,0.03058288309480872,-0.3546381348174922,1.0008643544764135,1.0006769134179752,163.23,163.16,-0.01527408560374885,-2.0519995540916636,163.23,-0.09,0.04012918659715174,0.04738873606385141,0.014519098933399338,-0.5340762046971383,0.2673266810284107,0.31960798764282566,0.15033281372145257,-0.14,-0.22222222222222213,0.03999999999999998
-0.9500072425012257,0.0,163.16,0.0,0.03398941699506931,-0.11068856891690025,0.017067381388613967,-0.4419302674733416,1.0007313768646575,1.0006267716833104,163.16,163.16,-0.03384407121291069,-1.2157837850931026,163.16,0.0,0.038219925896683146,0.03058288309480872,-0.01527408560374885,-2.0519995540916636,0.3009426109780926,0.2843328792431939,0.1852939331915564,0.0,-1.0,0.14
10.808937426868,-0.18,162.98,-0.18000000000000682,0.025576501329754565,-0.24751573898826126,-0.008075161331504432,-1.4731341702419303,1.0015540585166716,1.0016036054631159,163.17,162.75,-0.067303325322518,-0.9886297041250584,163.17,-0.11,0.03398941699506931,0.017067381388613967,-0.03384407121291069,-1.2157837850931026,0.2719617396264824,0.2706936253455849,0.18128270061022006,-0.18,0,-0.18
0.7060749758180574,-0.37,162.61,-0.3699999999999761,0.009021725149246804,-0.6472650800462951,-0.05719737957278426,-6.083125305451721,1.0032432885798104,1.0035950343492759,162.97,161.15,-0.13243820944406212,-0.9677810689058426,162.97,-0.23,0.025576501329754565,-0.008075161331504432,-0.067303325322518,-0.9886297041250584,0.22715046391327176,0.23875241013323256,0.14149713767616992,-0.37,1.0555555555555556,-0.19
-0.5212250779225448,-1.2,161.41,-1.200000000000017,-0.030934244227113983,-4.428861300401795,-0.19075812173255713,-2.33508498391636,1.0090554406197274,1.0102372640614754,162.61,161.15,-0.31964775501088627,-1.4135614363307727,161.15,-0.74,0.009021725149246804,-0.05719737957278426,-0.13243820944406212,-0.9677810689058426,0.15074867860510388,0.18254312443024526,0.0,-1.2,2.243243243243243,-0.83
-0.6998856245017734,1.2,162.61,1.200000000000017,-0.06424726565811242,-1.0768978607144846,-0.19749935138210617,-0.035339148804370404,1.001361457273766,1.0025760157350052,162.61,162.27,-0.2665041714479875,0.1662567082978226,162.27,0.74,-0.030934244227113983,-0.19075812173255713,-0.31964775501088627,-1.4135614363307727,0.2680282319442859,0.27575092338260715,0.23882265208972894,1.2,-2.0,2.4
1.1596989644685682,0.0,162.61,0.0,-0.09150385986735764,-0.42424520218945,-0.20053023670433845,-0.015346305195546498,1.0011520023085712,1.0023851997546345,163.0,162.61,-0.21805275367396162,0.1818035999615936,162.61,0.0,-0.06424726565811242,-0.19749935138210617,-0.2665041714479875,0.1662567082978226,0.22390368093050858,0.27209030389611305,0.2501566084600901,0.0,-1.0,-1.2
-0.6233590303462413,-0.31,162.3,-0.3100000000000023,-0.11827288025857463,-0.2925452590745449,-0.22534896182344255,-0.12376550053993504,1.0025928233799537,1.0039812951102274,162.61,162.3,-0.21415216312973584,0.017888288400420997,162.61,-0.19,-0.09150385986735764,-0.20053023670433845,-0.21805275367396162,0.1818035999615936,0.21834191746077417,0.26268832670739484,0.22680108410918393,-0.31,0,-0.31
-0.26916069189086866,0.19,162.49,0.18999999999999773,-0.14003211569431218,-0.183974850262937,-0.22706905743726225,-0.007633031010665862,1.001201952110772,1.0025993861524807,162.58,162.49,-0.17407388348590014,0.18714860993281596,162.58,0.12,-0.11827288025857463,-0.22534896182344255,-0.21415216312973584,0.017888288400420997,0.24468604926197546,0.2807004461230456,0.2616016078524165,0.19,-1.6129032258064517,0.5
2.47979667163116,0.5,162.99,0.5,-0.1492142904041839,-0.06557192015806053,-0.1859429892436708,0.1811170075647771,0.998418193274374,0.9995590177988458,162.99,162.49,-0.0734573976789738,0.578010232161427,162.49,0.31,-0.14003211569431218,-0.22706905743726225,-0.17407388348590014,0.18714860993281596,0.291191905352609,0.2957035481408395,0.34105304186832025,0.5,1.631578947368421,0.31
-0.4389218158303637,-0.01,162.98,-0.010000000000019327,-0.14985151694689514,-0.004270546346366301,-0.15240042311774005,0.18039166877098323,0.9987133836807217,0.9996484703362484,162.99,162.98,-0.0050978123416898224,0.9306017841256987,162.99,-0.01,-0.1492142904041839,-0.1859429892436708,-0.0734573976789738,0.578010232161427,0.27094661004217047,0.2971832486495854,0.5247291814391306,-0.01,-1.02,-0.51
-0.351358970532146,-0.03,162.95,-0.030000000000001137,-0.1452366216129172,0.030796453903188567,-0.12677704027700543,0.16813196654276186,0.9990669058442297,0.9998449177514221,162.98,162.95,0.03691916267182355,8.242158046874199,162.98,-0.02,-0.14985151694689514,-0.15240042311774005,-0.0050978123416898224,0.9306017841256987,0.28083898045048517,0.28388157963400185,0.40715651332404,-0.03,1.9999999999999996,-0.019999999999999997
