<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,chg,percent,turnoverrate,amount
20200804,94200,137.81,137.99,137.39,137.5,2642,-0.3,-0.22,0.0,3638172.0
20200804,94300,137.49,137.95,137.49,137.85,1157,0.35,0.25,0.0,1593731.0
20200804,94400,137.88,138.17,137.88,138.12,2228,0.27,0.2,0.0,3074910.0
20200804,94500,138.2,138.9,138.2,138.9,4604,0.78,0.56,0.0,6377433.0
20200804,94600,139.0,139.5,139.0,139.5,4895,0.6,0.43,0.0,6818264.0
20200804,94700,139.41,139.5,138.71,139.05,3283,-0.45,-0.32,0.0,4570755.0
20200804,94800,138.8,139.37,138.8,139.3,2308,0.25,0.18,0.0,3211157.0
20200804,94900,139.49,139.49,138.36,138.6,2409,-0.7,-0.5,0.0,3342582.0
20200804,95000,138.65,138.89,138.41,138.83,1452,0.23,0.17,0.0,2013148.0
20200804,95100,138.8,138.81,138.5,138.5,1935,-0.33,-0.24,0.0,2682793.0
20200804,95200,138.3,138.45,137.9,138.22,2515,-0.28,-0.2,0.0,3476422.0
20200804,95300,138.15,138.33,138.0,138.0,1354,-0.22,-0.16,0.0,1869974.0
20200804,95400,138.0,138.31,137.9,138.3,1360,0.3,0.22,0.0,1877391.0
20200804,95500,138.3,138.3,138.0,138.11,1033,-0.19,-0.14,0.0,1426806.0
20200804,95600,138.09,138.28,138.09,138.24,1679,0.13,0.09,0.0,2319779.0
20200804,95700,138.3,138.3,137.95,138.03,1157,-0.21,-0.15,0.0,1597632.0
20200804,95800,138.3,138.41,137.8,137.8,1839,-0.23,-0.17,0.0,2539881.0
20200804,95900,137.81,138.0,137.62,137.95,1538,0.15,0.11,0.0,2119393.0
20200804,100000,137.88,137.95,137.66,137.7,1003,-0.25,-0.18,0.0,1382017.0
20200804,100100,137.7,137.99,137.7,137.99,385,0.29,0.21,0.0,530833.0
20200804,100200,137.93,137.99,137.78,137.87,1108,-0.12,-0.09,0.0,1528244.0
20200804,100300,137.94,138.2,137.89,138.2,995,0.33,0.24,0.0,1373300.0
20200804,100400,138.19,138.19,138.0,138.1,540,-0.1,-0.07,0.0,745760.0
20200804,100500,138.1,138.3,138.05,138.15,1415,0.05,0.04,0.0,1955651.0
20200804,100600,138.16,138.16,138.0,138.0,792,-0.15,-0.11,0.0,1093638.0
20200804,100700,137.94,137.94,137.6,137.6,1037,-0.4,-0.29,0.0,1428971.0
20200804,100800,137.6,137.66,137.49,137.61,1628,0.01,0.01,0.0,2239626.0
20200804,100900,137.69,137.8,137.61,137.78,907,0.17,0.12,0.0,1249175.0
20200804,101000,137.69,137.9,137.69,137.84,1236,0.06,0.04,0.0,1703218.0
20200804,101100,137.78,137.88,137.78,137.84,418,0.0,0.0,0.0,576098.0
20200804,101200,137.85,138.03,137.85,137.98,797,0.14,0.1,0.0,1099399.0
20200804,101300,137.99,138.0,137.92,137.99,648,0.01,0.01,0.0,894077.0
20200804,101400,138.0,138.21,138.0,138.11,1127,0.12,0.09,0.0,1556746.0
20200804,101500,138.2,138.38,138.2,138.21,1177,0.1,0.07,0.0,1627480.0
20200804,101600,138.21,138.41,138.2,138.25,1385,0.04,0.03,0.0,1915567.0
20200804,101700,138.25,138.3,138.0,138.0,749,-0.25,-0.18,0.0,1034604.0
20200804,101800,137.93,138.18,137.85,138.08,1055,0.08,0.06,0.0,1456063.0
20200804,101900,138.1,138.11,138.0,138.0,576,-0.08,-0.06,0.0,795067.0
20200804,102000,138.03,138.03,137.88,137.88,710,-0.12,-0.09,0.0,979444.0
20200804,102100,137.89,138.0,137.61,137.61,995,-0.27,-0.2,0.0,1371388.0
20200804,102200,137.61,137.79,137.58,137.65,666,0.04,0.03,0.0,916711.0
20200804,102300,137.64,137.64,137.32,137.32,1337,-0.33,-0.24,0.0,1838256.0
20200804,102400,137.3,137.6,137.3,137.6,1082,0.28,0.2,0.0,1486891.0
20200804,102500,137.6,137.7,137.58,137.63,946,0.03,0.02,0.0,1301922.0
20200804,102600,137.44,137.58,137.43,137.49,1027,-0.14,-0.1,0.0,1412349.0
20200804,102700,137.5,137.5,137.4,137.43,734,-0.06,-0.04,0.0,1008719.0
20200804,102800,137.44,137.44,137.0,137.0,1696,-0.43,-0.31,0.0,2325698.0
20200804,102900,137.0,137.28,137.0,137.2,1604,0.2,0.15,0.0,2198854.0
20200804,103000,137.2,137.38,137.19,137.38,515,0.18,0.13,0.0,706758.0
20200804,103100,137.35,137.4,137.26,137.33,370,-0.05,-0.04,0.0,508125.0
20200804,103200,137.34,137.34,137.07,137.07,651,-0.26,-0.19,0.0,893486.0
20200804,103300,137.07,137.25,137.03,137.1,526,0.03,0.02,0.0,721243.0
20200804,103400,137.15,137.19,137.15,137.16,86,0.06,0.04,0.0,117961.0
20200804,103500,137.17,137.45,137.16,137.45,562,0.29,0.21,0.0,771444.0
20200804,103600,137.44,137.45,137.39,137.45,457,0.0,0.0,0.0,627988.0
20200804,103700,137.41,137.43,137.1,137.1,1029,-0.35,-0.25,0.0,1412979.0
20200804,103800,137.17,137.24,137.03,137.05,871,-0.05,-0.04,0.0,1194240.0
20200804,103900,137.13,137.13,137.0,137.04,598,-0.01,-0.01,0.0,819526.0
20200804,104000,136.96,137.08,136.96,137.0,649,-0.04,-0.03,0.0,889088.0
20200804,104100,137.06,137.08,136.9,136.98,596,-0.02,-0.01,0.0,816566.0
20200804,104200,136.97,137.12,136.91,137.1,720,0.12,0.09,0.0,986507.0
20200804,104300,137.12,137.2,137.1,137.15,378,0.05,0.04,0.0,518365.0
20200804,104400,137.16,137.23,137.16,137.2,209,0.05,0.04,0.0,286755.0
20200804,104500,137.16,137.23,137.15,137.2,430,0.0,0.0,0.0,589869.0
20200804,104600,137.2,137.2,137.01,137.09,515,-0.11,-0.08,0.0,706123.0
20200804,104700,137.03,137.1,137.03,137.03,251,-0.06,-0.04,0.0,343996.0
20200804,104800,137.01,137.07,137.01,137.02,410,-0.01,-0.01,0.0,561773.0
20200804,104900,137.01,137.09,137.0,137.09,199,0.07,0.05,0.0,272639.0
20200804,105000,137.03,137.14,137.01,137.14,216,0.05,0.04,0.0,296071.0
20200804,105100,137.1,137.24,137.08,137.24,334,0.1,0.07,0.0,458014.0
20200804,105200,137.29,137.33,137.21,137.3,663,0.06,0.04,0.0,910334.0
20200804,105300,137.27,137.3,137.21,137.24,262,-0.06,-0.04,0.0,359575.0
20200804,105400,137.28,137.51,137.23,137.51,882,0.27,0.2,0.0,1211802.0
20200804,105500,137.56,137.7,137.38,137.54,1256,0.03,0.02,0.0,1727736.0
20200804,105600,137.57,137.57,137.44,137.44,349,-0.1,-0.07,0.0,479870.0
20200804,105700,137.44,137.7,137.43,137.6,485,0.16,0.12,0.0,667361.0
20200804,105800,137.64,137.74,137.4,137.5,987,-0.1,-0.07,0.0,1358009.0
20200804,105900,137.4,137.4,137.24,137.33,536,-0.17,-0.12,0.0,736107.0
20200804,110000,137.26,137.31,137.26,137.27,225,-0.06,-0.04,0.0,308888.0
20200804,110100,137.27,137.38,137.27,137.31,319,0.04,0.03,0.0,437956.0
20200804,110200,137.31,137.38,137.09,137.09,562,-0.22,-0.16,0.0,771280.0
20200804,110300,137.11,137.11,136.6,136.6,1067,-0.49,-0.36,0.0,1461093.0
20200804,110400,136.69,136.69,136.51,136.56,1213,-0.04,-0.03,0.0,1656878.0
20200804,110500,136.55,136.68,136.5,136.59,1107,0.03,0.02,0.0,1511912.0
20200804,110600,136.6,136.6,136.3,136.3,496,-0.29,-0.21,0.0,676925.0
20200804,110700,136.25,136.43,136.25,136.42,1224,0.12,0.09,0.0,1669388.0
20200804,110800,136.42,136.6,136.42,136.6,779,0.18,0.13,0.0,1063061.0
20200804,110900,136.6,136.6,136.21,136.4,1144,-0.2,-0.15,0.0,1560314.0
20200804,111000,136.41,136.54,136.36,136.47,413,0.07,0.05,0.0,563424.0
20200804,111100,136.44,136.47,136.3,136.34,347,-0.13,-0.1,0.0,473412.0
20200804,111200,136.39,136.5,136.34,136.36,649,0.02,0.01,0.0,885408.0
20200804,111300,136.37,136.37,136.16,136.16,1115,-0.2,-0.15,0.0,1519318.0
20200804,111400,136.1,136.22,136.05,136.13,793,-0.03,-0.02,0.0,1079686.0
20200804,111500,136.01,136.26,136.01,136.26,813,0.13,0.1,0.0,1106114.0
20200804,111600,136.15,136.3,136.06,136.25,804,-0.01,-0.01,0.0,1095156.0
20200804,111700,136.33,136.4,136.23,136.38,549,0.13,0.1,0.0,748583.0
