<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94300,175.549,175.549,174.616,174.972,17090
20200804,94400,174.617,175.249,174.617,174.71,13080
20200804,94500,174.671,174.968,174.407,174.649,11330
20200804,94600,174.649,174.896,174.319,174.319,7380
20200804,94700,174.63,174.946,174.381,174.6,10360
20200804,94800,174.6,174.8,174.381,174.655,5090
20200804,94900,174.784,174.995,174.489,174.995,6790
20200804,95000,175.0,175.0,174.905,174.996,55860
20200804,95100,174.996,175.5,174.922,175.45,25430
20200804,95200,175.479,176.5,175.4,176.117,25125
20200804,95300,176.383,176.383,176.0,176.221,22940
20200804,95400,176.22,176.38,176.101,176.199,6800
20200804,95500,176.199,176.4,176.173,176.395,9260
20200804,95600,176.4,176.745,176.195,176.617,8950
20200804,95700,176.614,176.765,176.588,176.6,14850
20200804,95800,176.6,176.601,176.293,176.347,8400
20200804,95900,176.347,176.347,176.0,176.0,5406
20200804,100000,176.001,176.34,175.831,176.339,7151
20200804,100100,176.339,176.345,175.867,176.004,8917
20200804,100200,176.0,176.401,176.0,176.376,9590
20200804,100300,176.499,176.925,176.499,176.9,23000
20200804,100400,177.0,177.0,176.308,176.488,30326
20200804,100500,176.545,176.555,176.291,176.294,6800
20200804,100600,176.294,176.908,176.273,176.666,7530
20200804,100700,176.577,176.797,176.372,176.529,12380
20200804,100800,176.344,176.981,176.344,176.981,4580
20200804,100900,177.0,177.999,177.0,177.999,14538
20200804,101000,177.89,178.0,177.321,177.85,38330
20200804,101100,178.0,178.0,177.621,177.683,12390
20200804,101200,177.951,178.26,177.719,178.26,19980
20200804,101300,178.251,178.726,178.251,178.578,16134
20200804,101400,178.56,178.61,178.001,178.352,41609
20200804,101500,178.352,178.352,177.659,177.93,9990
20200804,101600,178.117,178.117,177.855,177.99,5840
20200804,101700,178.099,178.117,177.94,178.05,2430
20200804,101800,177.936,178.0,177.639,178.0,21380
20200804,101900,177.675,178.15,177.675,178.012,32088
20200804,102000,178.146,178.354,178.011,178.011,17590
20200804,102100,178.006,178.006,177.325,177.403,6980
20200804,102200,177.4,177.4,177.2,177.352,4910
20200804,102300,177.39,177.8,177.354,177.653,5640
20200804,102400,177.653,177.655,177.17,177.17,4960
