<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94300,121.7,121.85,121.5,121.8,4984
20200804,94400,121.728,121.867,121.6,121.6,3443
20200804,94500,121.6,121.699,121.558,121.61,2987
20200804,94600,121.61,121.699,121.558,121.62,564
20200804,94700,121.55,121.599,121.51,121.589,6399
20200804,94800,121.589,121.81,121.511,121.81,7869
20200804,94900,121.8,121.92,121.703,121.919,3520
20200804,95000,121.919,121.919,121.55,121.55,5581
20200804,95100,121.521,121.55,121.51,121.53,2250
20200804,95200,121.52,121.649,121.5,121.649,4420
20200804,95300,121.649,121.798,121.649,121.701,1901
20200804,95400,121.701,121.716,121.691,121.691,190
20200804,95500,121.691,121.713,121.691,121.7,604
20200804,95600,121.7,121.768,121.691,121.767,1120
20200804,95700,121.71,121.71,121.5,121.513,7625
20200804,95800,121.513,121.513,121.41,121.41,6200
20200804,95900,121.41,121.41,121.212,121.227,5210
20200804,100000,121.228,121.51,121.228,121.32,12874
20200804,100100,121.32,121.447,121.32,121.447,1663
20200804,100200,121.447,121.5,121.365,121.372,1171
20200804,100300,121.372,121.49,121.372,121.4,3217
20200804,100400,121.4,121.466,121.3,121.344,3502
20200804,100500,121.34,121.349,121.121,121.234,2794
20200804,100600,121.237,121.237,120.8,120.96,8323
20200804,100700,120.96,120.96,120.5,120.6,9922
20200804,100800,120.601,120.861,120.6,120.859,6739
20200804,100900,120.8,120.918,120.8,120.815,4693
20200804,101000,120.815,120.896,120.623,120.777,4855
20200804,101100,120.777,121.0,120.701,120.754,9030
20200804,101200,120.754,121.41,120.754,121.41,4646
20200804,101300,121.303,121.439,121.275,121.275,9960
20200804,101400,121.38,121.52,121.38,121.515,6050
20200804,101500,121.458,121.518,121.311,121.311,2750
20200804,101600,121.4,121.4,121.311,121.322,966
20200804,101700,121.31,121.33,121.0,121.33,6089
20200804,101800,121.421,121.55,121.421,121.5,6130
20200804,101900,121.5,121.5,121.28,121.28,2366
20200804,102000,121.28,121.28,121.2,121.2,1030
20200804,102100,121.2,121.2,120.851,120.851,2355
20200804,102200,120.852,121.2,120.8,121.12,5620
20200804,102300,121.12,121.12,120.6,120.7,11520
20200804,102400,120.7,120.7,120.6,120.7,8490
20200804,102500,120.567,120.567,120.313,120.355,7000
20200804,102600,120.399,120.8,120.351,120.8,10995
20200804,102700,120.8,120.902,120.652,120.652,3102
20200804,102800,120.652,120.78,120.652,120.75,561
20200804,102900,120.75,120.79,120.712,120.79,750
20200804,103000,120.79,120.798,120.719,120.78,1383
20200804,103100,120.8,120.898,120.765,120.868,3321
20200804,103200,120.801,120.92,120.721,120.721,5610
20200804,103300,120.713,120.84,120.713,120.744,1540
20200804,103400,120.744,120.849,120.744,120.75,40
20200804,103500,120.75,120.948,120.75,120.947,2387
20200804,103600,120.947,120.947,120.79,120.929,1119
20200804,103700,120.929,120.951,120.832,120.951,3166
20200804,103800,120.951,121.122,120.951,121.031,6905
20200804,103900,121.031,121.16,120.8,120.96,3450
20200804,104000,120.8,121.0,120.8,120.946,1562
20200804,104100,120.946,121.0,120.816,120.979,2919
20200804,104200,120.979,120.979,120.84,120.904,142
20200804,104300,121.0,121.157,120.966,121.1,1060
20200804,104400,121.1,121.34,121.1,121.283,2370
20200804,104500,121.283,121.3,121.261,121.29,802
20200804,104600,121.29,121.37,121.29,121.29,1740
20200804,104700,121.29,121.4,121.29,121.397,1980
20200804,104800,121.34,121.397,121.2,121.276,6697
20200804,104900,121.2,121.2,121.1,121.1,1060
20200804,105000,121.1,121.259,121.1,121.21,1511
20200804,105100,121.299,121.349,121.26,121.26,870
20200804,105200,121.26,121.33,121.239,121.254,660
20200804,105300,121.327,121.39,121.3,121.31,2629
20200804,105400,121.31,121.448,121.31,121.448,2451
20200804,105500,121.55,121.7,121.511,121.542,7542
20200804,105600,121.653,121.67,121.427,121.451,3667
20200804,105700,121.451,121.6,121.451,121.5,1910
20200804,105800,121.5,121.598,121.151,121.151,2702
20200804,105900,121.151,121.4,121.151,121.4,1630
20200804,110000,121.4,121.4,121.3,121.3,640
20200804,110100,121.313,121.33,121.312,121.33,791
20200804,110200,121.33,121.4,121.33,121.341,607
20200804,110300,121.409,121.409,121.101,121.101,2580
20200804,110400,121.1,121.103,121.1,121.103,1440
20200804,110500,121.103,121.196,121.1,121.106,2200
20200804,110600,121.106,121.15,121.06,121.15,3367
20200804,110700,121.148,121.194,121.06,121.07,1840
20200804,110800,121.074,121.1,121.01,121.061,1545
20200804,110900,121.061,121.1,121.06,121.1,1460
20200804,111000,121.169,121.169,121.1,121.166,330
20200804,111100,121.166,121.2,121.012,121.16,2309
20200804,111200,121.16,121.29,121.16,121.27,1126
20200804,111300,121.27,121.27,121.1,121.1,2135
20200804,111400,121.1,121.16,121.03,121.03,760
20200804,111500,121.03,121.159,121.03,121.038,430
