<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94300,184.77,185.06,184.3,184.84,828
20200804,94400,184.83,185.51,184.8,185.51,706
20200804,94500,185.13,185.99,185.13,185.99,604
20200804,94600,185.59,185.6,185.28,185.6,144
20200804,94700,185.77,187.0,185.77,187.0,756
20200804,94800,187.3,187.41,186.99,187.41,812
20200804,94900,187.41,187.86,187.25,187.65,613
20200804,95000,187.67,188.5,187.67,188.5,1488
20200804,95100,188.17,189.0,188.17,189.0,2170
20200804,95200,189.22,189.22,188.0,188.36,1675
20200804,95300,188.4,189.2,188.0,188.97,1710
20200804,95400,188.97,188.97,187.72,187.72,697
20200804,95500,188.0,189.0,187.97,189.0,1103
20200804,95600,189.0,191.0,189.0,190.83,2410
20200804,95700,191.01,191.03,189.93,190.65,1369
20200804,95800,190.62,191.5,189.64,191.29,1551
20200804,95900,191.22,192.5,191.02,191.86,1895
20200804,100000,191.84,191.84,190.31,191.78,1930
20200804,100100,191.99,192.31,190.4,192.31,1685
20200804,100200,192.0,193.63,192.0,193.6,2232
20200804,100300,193.5,193.5,192.4,192.84,1848
20200804,100400,192.8,193.24,192.11,192.11,1940
20200804,100500,192.0,192.76,192.0,192.59,1500
20200804,100600,192.6,193.29,192.6,192.8,1474
20200804,100700,192.5,193.69,192.5,193.23,1524
20200804,100800,193.4,193.89,192.0,193.0,2270
20200804,100900,193.0,193.0,191.6,191.75,1480
20200804,101000,191.75,192.75,191.75,192.72,945
20200804,101100,192.73,192.8,191.85,191.9,979
20200804,101200,191.91,192.74,191.84,192.18,639
20200804,101300,192.02,193.59,192.0,192.48,1665
20200804,101400,192.31,192.44,191.4,191.4,1062
20200804,101500,191.2,191.2,190.01,190.56,1246
20200804,101600,190.56,190.9,189.98,189.98,1057
20200804,101700,189.88,191.5,189.88,191.5,525
20200804,101800,191.7,191.84,190.2,190.41,1032
20200804,101900,190.42,190.84,190.41,190.41,436
20200804,102000,190.41,190.74,189.86,189.98,544
20200804,102100,189.85,189.85,189.3,189.35,201
20200804,102200,189.34,190.78,189.34,190.37,662
20200804,102300,190.17,190.45,189.41,189.41,744
20200804,102400,189.67,189.95,189.62,189.79,354
20200804,102500,189.9,190.8,189.9,190.8,685
20200804,102600,190.8,190.88,190.0,190.04,409
20200804,102700,190.31,190.47,189.98,190.04,347
20200804,102800,190.07,190.08,190.01,190.08,161
20200804,102900,190.05,190.25,190.05,190.25,163
20200804,103000,190.3,190.92,190.16,190.92,374
20200804,103100,190.97,191.5,190.92,190.92,377
20200804,103200,190.9,191.3,190.59,191.04,323
20200804,103300,190.91,191.01,190.44,190.51,500
20200804,103400,190.63,191.23,190.5,191.23,313
20200804,103500,191.09,191.8,190.9,191.62,794
20200804,103600,191.73,192.28,191.73,192.22,841
20200804,103700,192.24,192.24,191.43,191.99,278
20200804,103800,191.99,191.99,191.6,191.7,134
20200804,103900,191.8,191.99,191.8,191.97,381
20200804,104000,191.97,191.99,190.5,190.5,431
20200804,104100,191.34,191.94,191.33,191.94,204
20200804,104200,192.0,192.64,191.65,192.51,732
20200804,104300,192.49,192.49,191.18,191.99,176
20200804,104400,191.92,192.15,191.65,191.81,334
20200804,104500,191.8,191.9,191.65,191.88,319
20200804,104600,191.88,191.88,191.19,191.32,370
20200804,104700,191.54,191.54,191.19,191.48,218
20200804,104800,191.37,191.37,191.0,191.13,257
20200804,104900,191.23,191.52,191.0,191.18,170
20200804,105000,191.03,192.1,191.03,192.1,482
20200804,105100,192.19,192.5,192.11,192.18,438
20200804,105200,192.16,192.4,192.0,192.11,443
20200804,105300,192.21,192.23,191.9,192.09,189
