<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94300,132.4,132.57,131.72,131.75,705
20200804,94400,131.91,133.3,131.91,133.3,609
20200804,94500,133.45,133.45,132.39,132.39,1127
20200804,94600,132.5,132.5,132.0,132.05,966
20200804,94700,131.97,132.61,131.97,132.51,763
20200804,94800,132.38,132.5,131.91,132.36,568
20200804,94900,132.17,132.66,132.17,132.66,463
20200804,95000,132.59,132.6,131.9,131.9,1530
20200804,95100,131.82,131.92,131.71,131.71,674
20200804,95200,131.71,131.71,131.4,131.42,1253
20200804,95300,131.33,131.82,131.33,131.7,842
20200804,95400,131.56,131.74,131.52,131.73,194
20200804,95500,131.73,131.84,131.65,131.68,258
20200804,95600,131.68,131.68,131.48,131.66,565
20200804,95700,131.49,131.66,131.48,131.48,195
20200804,95800,131.48,131.48,130.79,131.01,615
20200804,95900,131.11,131.45,131.11,131.39,255
20200804,100000,131.32,131.41,131.31,131.31,279
20200804,100100,131.31,131.39,131.21,131.37,303
20200804,100200,131.34,131.34,131.11,131.11,214
20200804,100300,131.11,131.11,130.11,130.46,966
20200804,100400,130.29,130.67,130.21,130.33,1155
20200804,100500,130.35,130.67,130.35,130.57,298
20200804,100600,130.4,130.79,130.4,130.71,204
20200804,100700,130.71,130.71,130.15,130.29,662
20200804,100800,130.3,130.49,130.3,130.32,304
20200804,100900,130.3,130.55,130.3,130.47,474
20200804,101000,130.47,130.78,130.39,130.61,576
20200804,101100,130.77,130.9,130.37,130.37,370
20200804,101200,130.37,130.37,130.11,130.11,187
20200804,101300,130.03,130.3,130.0,130.3,564
20200804,101400,130.29,130.48,130.23,130.48,203
20200804,101500,130.4,130.41,130.0,130.31,327
20200804,101600,130.49,130.5,130.31,130.5,358
20200804,101700,130.5,130.8,130.39,130.8,274
20200804,101800,130.81,131.0,130.7,130.87,330
20200804,101900,130.87,130.87,130.71,130.86,235
20200804,102000,130.78,130.85,130.35,130.5,999
20200804,102100,130.5,130.67,130.44,130.66,781
20200804,102200,130.64,130.76,130.52,130.65,220
20200804,102300,130.65,130.65,130.45,130.45,148
20200804,102400,130.6,130.65,130.3,130.65,949
20200804,102500,130.7,130.72,130.59,130.6,105
20200804,102600,130.6,130.88,130.6,130.88,78
20200804,102700,131.0,131.0,130.72,130.81,322
20200804,102800,130.75,130.8,130.7,130.8,30
20200804,102900,130.8,130.8,130.72,130.72,23
20200804,103000,130.72,130.92,130.72,130.8,96
20200804,103100,130.91,130.92,130.81,130.88,311
20200804,103200,130.88,130.9,130.85,130.85,746
20200804,103300,130.81,130.81,130.67,130.7,602
20200804,103400,130.7,130.8,130.67,130.67,1546
20200804,103500,130.67,130.67,130.23,130.3,768
20200804,103600,130.46,130.5,130.3,130.5,587
20200804,103700,130.5,130.5,130.18,130.26,391
20200804,103800,130.21,130.27,130.2,130.27,321
20200804,103900,130.22,130.27,130.2,130.27,83
20200804,104000,130.38,130.41,130.28,130.3,110
20200804,104100,130.3,130.4,130.29,130.4,71
20200804,104200,130.41,130.55,130.31,130.43,214
20200804,104300,130.44,130.49,130.42,130.45,160
20200804,104400,130.42,130.45,130.31,130.31,138
20200804,104500,130.3,130.3,130.21,130.24,408
20200804,104600,130.34,130.34,130.2,130.21,246
20200804,104700,130.27,130.46,130.27,130.34,68
20200804,104800,130.34,130.34,130.3,130.3,61
20200804,104900,130.27,130.4,130.26,130.26,73
20200804,105000,130.26,130.26,130.25,130.25,122
20200804,105100,130.23,130.25,130.2,130.21,164
20200804,105200,130.22,130.35,130.22,130.25,68
20200804,105300,130.25,130.5,130.24,130.4,285
20200804,105400,130.39,130.39,130.32,130.39,96
20200804,105500,130.39,130.39,130.28,130.28,56
20200804,105600,130.28,130.46,130.28,130.46,139
20200804,105700,130.46,130.52,130.39,130.46,136
20200804,105800,130.46,130.46,130.25,130.25,332
20200804,105900,130.45,130.45,130.26,130.28,71
20200804,110000,130.29,130.36,130.29,130.36,111
20200804,110100,130.36,130.41,130.29,130.3,103
20200804,110200,130.29,130.31,130.29,130.31,131
20200804,110300,130.3,130.3,130.22,130.22,167
20200804,110400,130.21,130.22,130.2,130.22,218
20200804,110500,130.22,130.28,130.22,130.22,40
20200804,110600,130.22,130.22,130.2,130.2,90
20200804,110700,130.2,130.25,130.2,130.25,72
20200804,110800,130.2,130.25,130.2,130.21,80
20200804,110900,130.2,130.21,130.2,130.2,272
