amount,chg,close,close_diff,dea,dea_chng_pct,dif,dif_chng_pct,dif_cross_dea_above,dif_cross_dea_below,ema_12,ema_26,high,low,macd,macd_chng_pct,open,percent,pre_dea,pre_dif,pre_macd,pre_macd_chng_pct,rsi12,rsi24,rsi6,volume,volume_chng,volume_diff
-0.35398999310056334,-0.05,135.17,-0.05000000000001137,-0.03423229305551445,-0.4498731374798699,-0.07671929052284554,-0.3406260131180092,0.0,0.0,135.42172681479929,135.49844610532213,135.23,135.06,-0.08497399493466218,-0.26389499591788096,135.23,-0.04,-0.023610543688681682,-0.057226467166941575,-0.06723184695651979,-0.5709478379821136,20.289855072464306,35.61643835616476,4.081632653063,-0.05,-0.736842105263158,0.14
0.500172394944203,-0.02,135.15,-0.01999999999998181,-0.045928353096437835,-0.34166744313493413,-0.09271259326013137,-0.20846520644665412,0.0,0.0,135.37992268944555,135.47263528270568,135.28,135.09,-0.09356848032738707,-0.10114253659997187,135.17,-0.01,-0.03423229305551445,-0.07671929052284554,-0.08497399493466218,-0.26389499591788096,17.39130434782949,27.819548872181482,5.405405405408104,-0.02,-0.6,0.030000000000000002
2.997213969392903,-0.14,135.01,-0.14000000000001478,-0.059813581687417995,-0.3023236770938579,-0.11535449605133863,-0.2442160443908521,0.0,0.0,135.32301150645392,135.43836600250526,135.11,135.01,-0.11108182872784127,-0.18717145281377534,135.11,-0.1,-0.045928353096437835,-0.09271259326013137,-0.09356848032738707,-0.10114253659997187,5.333333333335657,25.170068027211684,4.545454545456601,-0.14,6.0,-0.12000000000000001
-0.36087694916157476,-0.35,134.66,-0.3499999999999943,-0.07979077041967714,-0.3339908457022131,-0.15969952534871368,-0.3844239350466171,0.0,0.0,135.22100973623023,135.38070926157894,134.8,134.66,-0.15981750985807308,-0.4387367554925464,134.8,-0.26,-0.059813581687417995,-0.11535449605133863,-0.11108182872784127,-0.18717145281377534,3.7037037037054583,19.8895027624323,2.5974025974038915,-0.35,1.4999999999999996,-0.20999999999999996
0.33700505776383205,-0.15,134.51,-0.15000000000000568,-0.1047503475908909,-0.31281283586978,-0.20458865627574596,-0.28108493640800825,0.0,0.0,135.11162362296403,135.31621227923978,134.66,134.32,-0.19967661736971012,-0.24940388288513674,134.66,-0.11,-0.07979077041967714,-0.15969952534871368,-0.15981750985807308,-0.4387367554925464,3.2786885245916912,18.367346938776784,0.0,-0.15,-0.5714285714285714,0.19999999999999998
-0.2161458675244535,0.03,134.54,0.030000000000001137,-0.1308069873220607,-0.24874991186602693,-0.2350335462467399,-0.14881025431810893,0.0,0.0,135.02368152712341,135.25871507337015,134.63,134.4,-0.20845311784935838,-0.04395357150606261,134.51,0.02,-0.1047503475908909,-0.20458865627574596,-0.19967661736971012,-0.24940388288513674,5.833333333334912,21.428571428572543,4.054054054054157,0.03,-1.2,0.18
0.733841689383566,-0.02,134.52,-0.01999999999998181,-0.15620626523636394,-0.19417370917478224,-0.2578033768935768,-0.09687906688406504,0.0,0.0,134.94619206141212,135.2039954383057,134.66,134.52,-0.20319422331442571,0.025228188425241414,134.64,-0.01,-0.1308069873220607,-0.2350335462467399,-0.20845311784935838,-0.04395357150606261,4.166666666667554,23.076923076924498,4.225352112676338,-0.02,-1.6666666666666667,-0.05
-0.5012606959911317,0.26,134.78,0.2599999999999909,-0.17535787555658572,-0.12260462338845671,-0.2519643168374728,0.022649276849908858,0.0,0.0,134.9206240519641,135.17258836880157,134.78,134.41,-0.15321288256177412,0.24597815792877997,134.5,0.19,-0.15620626523636394,-0.2578033768935768,-0.20319422331442571,0.025228188425241414,23.48484848484878,33.85416666666716,30.526315789473212,0.26,-14.000000000000002,0.28
-0.10410326067218223,-0.36,134.42,-0.36000000000001364,-0.194933523480694,-0.11163255634784126,-0.2732361151771272,-0.08442385257820297,0.0,0.0,134.84360496704653,135.11684108222366,134.75,134.42,-0.1566051833928664,-0.022141093975727,134.71,-0.27,-0.17535787555658572,-0.2519643168374728,-0.15321288256177412,0.24597815792877997,19.254658385093144,24.8847926267292,24.78632478632437,-0.36,-2.3846153846153846,-0.62
-0.6764202725820706,0.08,134.5,0.0800000000000125,-0.2120281159411731,-0.08769447222438433,-0.28040648578308947,-0.02624239698809222,0.0,0.0,134.790742664424,135.07114915020708,134.71,134.44,-0.13675673968383273,0.12674193330651778,134.51,0.06,-0.194933523480694,-0.2732361151771272,-0.1566051833928664,-0.022141093975727,23.353293413174313,27.555555555556893,41.111111111111356,0.08,-1.2222222222222223,0.44
0.7414098388039756,-0.03,134.47,-0.030000000000001137,-0.22666688163235443,-0.06904162509863945,-0.2852219443970796,-0.017173135637508632,0.0,0.0,134.741397639128,135.02661958352508,134.52,134.46,-0.11711012552945033,0.14366103052619797,134.46,-0.02,-0.2120281159411731,-0.28040648578308947,-0.13675673968383273,0.12674193330651778,22.023809523809703,26.87224669603597,47.43589743589795,-0.03,-1.375,-0.11
0.6904685394174552,0.02,134.49,0.020000000000010232,-0.2381632864025391,-0.05071938470848781,-0.28414890548327776,0.0037621190615963877,0.0,0.0,134.70272107926215,134.98686998474543,134.62,134.47,-0.09197123816147734,0.21466023756973235,134.47,0.01,-0.22666688163235443,-0.2852219443970796,-0.11711012552945033,0.14366103052619797,25.82781456953707,28.00000000000126,46.7532467532479,0.02,-1.6666666666666667,0.05
