amount,chg,close,close_diff,high,low,open,percent,volume,volume_chng,volume_diff
-0.22513453235938044,0.03,157.66,0.030000000000001137,157.86,157.63,157.63,0.02,0.03,-1.1250000000000002,0.27
1.0415896487985212,-0.03,157.63,-0.030000000000001137,157.82,157.63,157.82,-0.02,-0.03,-2.0,-0.06
0.7745068874086529,0.15,157.78,0.15000000000000568,157.79,157.63,157.63,0.1,0.15,-6.0,0.18
-0.770168226478906,-0.12,157.66,-0.12000000000000455,157.66,157.66,157.66,-0.08,-0.12,-1.8000000000000003,-0.27
6.60560700241025,0.12,157.78,0.12000000000000455,157.78,157.67,157.67,0.08,0.12,-2.0,0.24
2.318076057042782,-0.28,157.5,-0.28000000000000114,157.71,157.5,157.71,-0.18,-0.28,-3.3333333333333335,-0.4
-0.8061718574259715,-0.01,157.49,-0.009999999999990905,157.49,157.3,157.37,-0.01,-0.01,-0.9642857142857143,0.27
1.6444238412313517,-0.03,157.46,-0.030000000000001137,157.5,157.39,157.39,-0.02,-0.03,1.9999999999999996,-0.019999999999999997
-0.598323477203409,0.19,157.65,0.18999999999999773,157.65,157.48,157.48,0.12,0.19,-7.333333333333334,0.22
-0.3648698964176499,-0.05,157.6,-0.05000000000001137,157.7,157.6,157.7,-0.03,-0.05,-1.263157894736842,-0.24
2.3274261441174775,-0.4,157.2,-0.4000000000000057,157.6,157.17,157.6,-0.25,-0.4,7.0,-0.35000000000000003
-0.4414438873356593,0.19,157.39,0.18999999999999773,157.39,157.16,157.16,0.12,0.19,-1.475,0.5900000000000001
-0.20113759760070324,0.31,157.7,0.3100000000000023,157.7,157.39,157.39,0.2,0.31,0.631578947368421,0.12
0.12285425782564793,-0.19,157.51,-0.18999999999999773,157.79,157.51,157.79,-0.12,-0.19,-1.6129032258064517,-0.5
-0.49175083010514664,-0.06,157.45,-0.060000000000002274,157.51,157.39,157.51,-0.04,-0.06,-0.6842105263157895,0.13
4.012816586704776,0.35,157.8,0.35000000000002274,157.99,156.0,157.99,0.22,0.35,-6.833333333333333,0.41
0.13302637086647132,-0.4,157.4,-0.4000000000000057,157.97,157.38,157.97,-0.25,-0.4,-2.142857142857143,-0.75
0.04684697997835282,-0.05,157.35,-0.05000000000001137,157.5,157.35,157.5,-0.03,-0.05,-0.875,0.35000000000000003
-0.7419808972238596,-0.59,156.76,-0.5900000000000034,157.48,156.62,157.35,-0.37,-0.59,10.799999999999997,-0.5399999999999999
-0.687175619926363,-0.06,156.7,-0.060000000000002274,157.37,156.6,156.6,-0.04,-0.06,-0.8983050847457628,0.53
6.4814237095859335,0.29,156.99,0.29000000000002046,156.99,156.64,156.7,0.19,0.29,-5.833333333333333,0.35
-0.43368587981829326,0.22,157.21,0.21999999999999886,157.5,156.99,156.99,0.14,0.22,-0.24137931034482754,-0.06999999999999998
0.1999564899675906,-0.01,157.2,-0.010000000000019327,157.2,156.97,157.16,-0.01,-0.01,-1.0454545454545454,-0.23
-0.05827580596425168,-0.42,156.78,-0.4199999999999875,157.37,156.78,157.37,-0.27,-0.42,41.0,-0.41
4.598028423479235,0.63,157.41,0.6299999999999955,157.41,156.17,156.7,0.4,0.63,-2.5,1.05
-0.8932633065941944,-0.8,156.61,-0.799999999999983,157.49,156.6,157.49,-0.51,-0.8,-2.26984126984127,-1.4300000000000002
2.8242292059085954,-0.16,156.45,-0.160000000000025,156.7,156.22,156.7,-0.1,-0.16,-0.7999999999999999,0.64
-0.42594944912508104,-0.31,156.14,-0.3100000000000023,156.68,156.05,156.47,-0.2,-0.31,0.9375,-0.15
-0.1526448097302505,0.41,156.55,0.410000000000025,156.55,156.07,156.2,0.26,0.41,-2.32258064516129,0.72
0.2582627927839905,-0.21,156.34,-0.21000000000000796,156.96,156.34,156.58,-0.13,-0.21,-1.5121951219512195,-0.62
1.8134499043477648,-1.34,155.0,-1.3400000000000034,156.08,155.0,156.08,-0.86,-1.34,5.380952380952381,-1.1300000000000001
-0.5612325163310546,0.6,155.6,0.5999999999999943,155.6,155.07,155.07,0.39,0.6,-1.4477611940298507,1.94
-0.34135734341314455,0.05,155.65,0.05000000000001137,156.0,155.6,155.6,0.03,0.05,-0.9166666666666666,-0.5499999999999999
-0.3925940396344772,-0.34,155.31,-0.3400000000000034,155.72,155.25,155.72,-0.22,-0.34,-7.8,-0.39
2.1268876993117445,-0.24,155.07,-0.2400000000000091,155.34,155.06,155.1,-0.15,-0.24,-0.2941176470588236,0.10000000000000003
-0.4079143152972154,0.21,155.28,0.21000000000000796,155.32,155.06,155.06,0.14,0.21,-1.8749999999999998,0.44999999999999996
-0.43658220225135497,0.01,155.29,0.009999999999990905,155.49,155.18,155.24,0.01,0.01,-0.9523809523809523,-0.19999999999999998
0.03243576567317574,0.15,155.44,0.15000000000000568,155.45,155.29,155.45,0.1,0.15,13.999999999999998,0.13999999999999999
3.4282405563961666,0.2,155.64,0.19999999999998863,155.68,155.31,155.44,0.13,0.2,0.3333333333333335,0.05000000000000002
-0.34824095374401476,-0.44,155.2,-0.4399999999999977,155.97,155.2,155.64,-0.28,-0.44,-3.1999999999999997,-0.64
-0.2997705198484235,0.36,155.56,0.36000000000001364,155.56,155.23,155.23,0.23,0.36,-1.8181818181818183,0.8
-0.33696191142328924,-0.12,155.44,-0.12000000000000455,155.44,155.23,155.44,-0.08,-0.12,-1.3333333333333333,-0.48
-0.2695269744890126,-0.16,155.28,-0.1599999999999966,155.45,155.25,155.45,-0.1,-0.16,0.3333333333333334,-0.04000000000000001
