<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,93900,140.76,140.76,140.31,140.48,1085
20200804,94000,140.39,140.54,140.27,140.49,326
20200804,94100,140.51,140.51,140.28,140.41,198
20200804,94200,140.38,140.41,139.8,139.8,795
20200804,94300,139.81,139.95,139.5,139.6,469
20200804,94400,139.78,139.78,139.14,139.14,764
20200804,94500,139.4,139.6,138.82,139.31,582
20200804,94600,139.16,139.3,139.1,139.27,352
20200804,94700,139.25,139.43,139.16,139.32,361
20200804,94800,139.4,139.7,139.4,139.54,188
20200804,94900,139.33,139.64,139.3,139.45,197
20200804,95000,139.66,139.95,139.58,139.71,266
20200804,95100,139.86,139.99,139.75,139.8,362
20200804,95200,139.76,139.76,139.63,139.72,133
20200804,95300,139.86,139.92,139.74,139.92,73
20200804,95400,140.08,140.25,140.0,140.25,882
20200804,95500,140.27,140.27,140.06,140.26,285
20200804,95600,140.32,140.4,140.26,140.4,297
20200804,95700,140.23,140.23,139.91,140.03,655
20200804,95800,140.04,140.04,139.88,139.88,641
20200804,95900,139.87,139.87,139.79,139.87,72
20200804,100000,139.87,139.87,139.66,139.72,108
20200804,100100,139.71,139.77,139.71,139.77,186
20200804,100200,139.86,139.97,139.86,139.91,253
20200804,100300,139.91,139.92,139.86,139.86,68
20200804,100400,139.83,139.84,139.65,139.65,412
20200804,100500,139.65,139.65,139.16,139.32,413
20200804,100600,139.2,139.76,139.2,139.76,393
20200804,100700,139.7,139.76,139.65,139.65,55
20200804,100800,139.8,139.98,139.7,139.74,306
20200804,100900,139.73,139.84,139.6,139.81,212
20200804,101000,139.74,139.74,139.7,139.72,135
20200804,101100,139.64,139.65,139.51,139.51,188
20200804,101200,139.51,139.51,139.5,139.5,298
20200804,101300,139.62,139.71,139.62,139.71,23
20200804,101400,139.77,139.79,139.69,139.69,59
20200804,101500,139.79,139.97,139.72,139.76,129
20200804,101600,139.74,139.78,139.7,139.72,67
20200804,101700,139.73,139.73,139.7,139.71,90
20200804,101800,139.81,139.81,139.68,139.78,85
20200804,101900,139.72,139.94,139.72,139.88,211
20200804,102000,139.94,140.15,139.87,140.01,523
20200804,102100,140.0,140.42,139.99,140.05,953
20200804,102200,140.09,140.15,140.03,140.13,121
20200804,102300,140.15,140.15,140.0,140.05,109
20200804,102400,139.99,140.05,139.9,139.9,136
20200804,102500,139.9,140.01,139.9,139.95,392
20200804,102600,140.1,140.28,140.04,140.04,194
20200804,102700,140.1,140.2,140.07,140.2,150
20200804,102800,140.2,140.2,140.11,140.11,142
20200804,102900,140.11,140.11,140.01,140.01,103
20200804,103000,140.0,140.0,139.96,140.0,109
20200804,103100,140.02,140.3,140.02,140.3,318
20200804,103200,140.3,140.3,140.06,140.26,814
20200804,103300,140.3,140.39,140.1,140.1,255
20200804,103400,140.2,140.2,140.17,140.2,67
20200804,103500,140.2,140.31,140.2,140.3,142
20200804,103600,140.31,140.49,140.27,140.28,767
20200804,103700,140.26,140.3,140.13,140.13,342
20200804,103800,140.0,140.15,140.0,140.15,765
20200804,103900,140.16,140.2,140.14,140.18,245
20200804,104000,140.17,140.24,140.17,140.24,84
20200804,104100,140.3,140.6,140.3,140.53,1644
20200804,104200,140.53,140.75,140.52,140.64,305
20200804,104300,140.57,140.7,140.5,140.66,487
20200804,104400,140.64,140.77,140.64,140.73,173
20200804,104500,140.72,140.84,140.68,140.82,1335
20200804,104600,140.82,140.82,140.53,140.68,929
20200804,104700,140.68,140.75,140.63,140.75,147
20200804,104800,140.75,141.11,140.75,141.0,647
20200804,104900,141.25,141.25,140.97,141.25,889
20200804,105000,141.13,141.23,141.0,141.2,458
20200804,105100,141.17,141.3,141.11,141.29,346
20200804,105200,141.22,141.22,141.06,141.2,160
20200804,105300,141.2,141.2,140.94,141.01,674
20200804,105400,141.06,141.19,141.06,141.18,173
20200804,105500,141.04,141.14,140.9,140.91,273
20200804,105600,140.82,141.0,140.82,140.97,290
20200804,105700,140.94,141.0,140.94,140.95,151
20200804,105800,140.96,140.96,140.87,140.87,92
20200804,105900,140.86,141.0,140.86,141.0,137
20200804,110000,140.98,141.0,140.92,141.0,34
20200804,110100,141.0,141.08,141.0,141.08,116
20200804,110200,141.08,141.2,140.99,140.99,574
20200804,110300,141.01,141.09,140.85,140.85,166
20200804,110400,140.86,140.94,140.86,140.94,39
20200804,110500,140.94,140.94,140.88,140.89,84
20200804,110600,140.87,140.89,140.81,140.82,171
20200804,110700,140.81,140.81,140.76,140.76,678
20200804,110800,140.74,140.77,140.74,140.76,180
20200804,110900,140.76,140.76,140.71,140.71,103
20200804,111000,140.76,140.84,140.76,140.83,269
20200804,111100,140.83,140.83,140.7,140.77,267
20200804,111200,140.75,140.88,140.75,140.86,174
20200804,111300,140.78,140.8,140.67,140.67,227
20200804,111400,140.66,140.66,140.66,140.66,33
20200804,111500,140.66,140.66,140.31,140.44,748
20200804,111600,140.33,140.45,140.32,140.32,127
20200804,111700,140.3,140.3,140.06,140.14,268
20200804,111800,140.21,140.25,140.14,140.15,170
20200804,111900,140.13,140.25,140.04,140.25,230
20200804,112000,140.22,140.32,140.16,140.29,387
20200804,112100,140.3,140.47,140.3,140.47,71
20200804,112200,140.39,140.42,140.31,140.35,406
20200804,112300,140.32,140.41,140.32,140.38,97
20200804,112400,140.43,140.46,140.4,140.41,161
20200804,112500,140.48,140.72,140.41,140.48,268
20200804,112600,140.38,140.47,140.38,140.47,63
20200804,112700,140.48,140.48,140.38,140.39,135
20200804,112800,140.37,140.37,140.28,140.28,197
20200804,112900,140.27,140.32,140.27,140.32,76
20200804,113000,140.41,140.41,140.22,140.22,74
20200804,130100,140.3,140.47,140.3,140.3,110
20200804,130200,140.24,140.34,140.17,140.17,74
20200804,130300,140.18,140.34,140.18,140.3,11
20200804,130400,140.2,140.26,140.19,140.19,70
20200804,130500,140.25,140.34,140.13,140.13,57
20200804,130600,140.13,140.13,139.85,139.85,277
20200804,130700,139.86,139.86,139.85,139.86,88
20200804,130800,139.86,139.86,139.69,139.7,299
20200804,130900,139.62,139.81,139.62,139.8,200
20200804,131000,139.82,139.82,139.59,139.59,133
20200804,131100,139.58,139.58,139.31,139.31,433
20200804,131200,139.31,139.57,139.31,139.56,355
20200804,131300,139.45,139.45,139.2,139.22,268
20200804,131400,139.31,139.45,139.1,139.45,238
20200804,131500,139.51,139.62,139.43,139.6,441
20200804,131600,139.6,139.6,139.38,139.38,151
20200804,131700,139.42,139.42,139.2,139.39,227
20200804,131800,139.41,139.52,139.41,139.52,90
20200804,131900,139.42,139.51,139.4,139.51,138
20200804,132000,139.42,139.49,139.4,139.4,50
20200804,132100,139.3,139.44,139.3,139.44,35
20200804,132200,139.31,139.49,139.3,139.4,130
20200804,132300,139.41,139.45,139.4,139.41,96
20200804,132400,139.41,139.41,139.32,139.32,95
20200804,132500,139.33,139.41,139.32,139.32,90
20200804,132600,139.32,139.39,139.32,139.39,65
20200804,132700,139.39,139.44,139.37,139.44,32
20200804,132800,139.42,139.43,139.42,139.43,13
20200804,132900,139.43,139.43,139.38,139.39,24
20200804,133000,139.46,139.47,139.46,139.47,69
20200804,133100,139.48,139.49,139.38,139.49,39
20200804,133200,139.48,139.66,139.48,139.55,239
20200804,133300,139.6,139.6,139.46,139.51,35
20200804,133400,139.51,139.51,139.42,139.49,57
20200804,133500,139.43,139.5,139.4,139.5,86
20200804,133600,139.47,139.5,139.47,139.5,20
20200804,133700,139.49,139.58,139.49,139.49,57
20200804,133800,139.4,139.49,139.4,139.49,435
20200804,133900,139.63,139.63,139.45,139.45,109
20200804,134000,139.44,139.6,139.44,139.56,179
20200804,134100,139.5,139.55,139.38,139.4,375
20200804,134200,139.38,139.46,139.38,139.46,64
20200804,134300,139.46,139.46,139.35,139.35,223
20200804,134400,139.35,139.35,139.25,139.3,315
20200804,134500,139.25,139.35,139.19,139.34,579
20200804,134600,139.28,139.29,139.16,139.17,97
20200804,134700,139.17,139.17,139.11,139.11,71
20200804,134800,139.19,139.23,139.15,139.15,140
20200804,134900,139.2,139.21,139.2,139.21,37
20200804,135000,139.21,139.62,139.21,139.37,867
20200804,135100,139.49,139.51,139.38,139.45,404
20200804,135200,139.55,139.59,139.55,139.55,37
20200804,135300,139.49,139.59,139.4,139.59,482
20200804,135400,139.6,139.71,139.59,139.71,418
20200804,135500,139.69,139.7,139.66,139.7,31
20200804,135600,139.63,139.7,139.63,139.65,130
20200804,135700,139.65,139.85,139.65,139.71,335
20200804,135800,139.68,139.69,139.53,139.53,82
20200804,135900,139.51,139.51,139.39,139.39,150
20200804,140000,139.3,139.4,139.27,139.39,281
20200804,140100,139.45,139.47,139.41,139.41,58
20200804,140200,139.41,139.56,139.41,139.56,20
20200804,140300,139.56,139.6,139.45,139.6,225
20200804,140400,139.65,139.65,139.65,139.65,5
20200804,140500,139.52,139.61,139.52,139.53,39
20200804,140600,139.53,139.59,139.52,139.59,178
20200804,140700,139.62,139.62,139.53,139.54,76
20200804,140800,139.53,139.53,139.46,139.48,87
20200804,140900,139.52,139.53,139.48,139.48,25
20200804,141000,139.41,139.41,139.26,139.28,155
20200804,141100,139.28,139.28,139.2,139.2,101
20200804,141200,139.2,139.3,139.2,139.3,116
20200804,141300,139.24,139.32,139.24,139.32,107
20200804,141400,139.29,139.32,139.24,139.29,81
20200804,141500,139.48,139.48,139.42,139.42,151
20200804,141600,139.25,139.3,139.25,139.3,30
20200804,141700,139.21,139.22,139.21,139.22,10
20200804,141800,139.39,139.4,139.1,139.1,141
