<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200731,143800,135.91,135.95,134.9,134.9,825
20200731,143900,135.0,135.0,134.99,135.0,245
20200731,144000,135.0,135.7,135.0,135.7,83
20200731,144200,134.75,134.77,134.75,134.77,1179
20200731,144300,134.75,135.47,134.74,135.42,166
20200731,144400,135.51,135.67,135.4,135.42,267
20200731,144500,135.3,135.31,135.3,135.31,6
20200731,144600,135.31,135.31,135.3,135.31,277
20200731,144700,135.33,135.42,134.77,135.33,108
20200731,144800,134.8,135.32,134.8,135.32,13
20200731,144900,135.21,135.21,135.01,135.01,21
20200731,145400,134.62,134.62,134.62,134.62,3
20200731,145700,134.9,134.9,134.9,134.9,18
20200731,145800,134.9,135.33,134.9,135.3,729
20200731,150000,135.3,135.3,135.3,135.3,200
20200803,93100,135.0,135.0,135.0,135.0,20
20200803,93200,134.13,134.13,134.13,134.13,1
20200803,93400,135.0,135.0,135.0,135.0,21
20200803,93800,135.0,135.0,135.0,135.0,59
20200803,93900,135.02,135.02,135.02,135.02,1
20200803,94000,137.97,137.97,137.97,137.97,1
20200803,94600,135.36,135.36,135.36,135.36,1
20200803,94800,135.33,135.33,135.33,135.33,27
20200803,95300,135.1,135.1,135.1,135.1,200
20200803,95400,135.02,135.02,135.02,135.02,65
20200803,95500,135.0,135.0,135.0,135.0,169
20200803,95700,135.01,135.01,135.01,135.01,1
20200803,95800,134.82,134.82,134.82,134.82,1
20200803,95900,135.1,135.1,135.1,135.1,300
20200803,100000,134.32,134.32,134.32,134.32,1
20200803,100300,134.51,134.51,134.51,134.51,64
20200803,100400,135.0,135.11,135.0,135.11,40
20200803,100500,134.5,134.5,134.5,134.5,50
20200803,100900,134.6,134.6,134.6,134.6,1
20200803,101000,134.6,134.6,134.5,134.5,55
20200803,101100,134.51,134.62,134.51,134.62,2
20200803,101200,134.61,134.61,134.51,134.51,6
20200803,101300,134.51,134.8,134.51,134.8,31
20200803,101400,134.52,134.8,134.52,134.8,72
20200803,101600,134.8,134.8,134.8,134.8,13
20200803,101700,134.8,134.8,134.8,134.8,1
20200803,101800,134.8,134.8,134.8,134.8,6
20200803,102300,134.78,134.78,134.78,134.78,1
20200803,102400,134.77,134.77,134.77,134.77,1
20200803,102500,134.69,134.69,134.6,134.6,8
20200803,103000,134.55,134.55,134.55,134.55,4
20200803,103100,134.55,134.55,134.53,134.53,9
20200803,103200,134.53,134.53,134.53,134.53,3
20200803,103300,134.79,134.79,134.79,134.79,14
20200803,103400,134.8,134.85,134.8,134.85,30
20200803,103600,134.86,134.86,134.86,134.86,1
20200803,103700,134.59,134.59,134.59,134.59,1
20200803,103800,134.87,134.87,134.87,134.87,14
20200803,104100,134.87,134.87,134.87,134.87,2
20200803,104400,134.69,134.69,134.69,134.69,9
20200803,104700,134.6,134.6,134.6,134.6,91
20200803,105100,134.52,134.52,134.52,134.52,33
20200803,105200,134.51,134.51,134.51,134.51,27
20200803,105300,134.51,134.51,134.51,134.51,2
20200803,105400,134.68,134.68,134.68,134.68,5
20200803,105600,134.69,134.69,134.69,134.69,100
20200803,105800,134.69,134.69,134.69,134.69,10
20200803,110000,134.69,134.69,134.69,134.69,98
20200803,110900,134.9,134.9,134.9,134.9,176
20200803,111000,135.0,135.0,135.0,135.0,786
20200803,111100,134.9,134.9,134.9,134.9,10
20200803,111400,134.75,134.75,134.71,134.71,60
20200803,111800,135.0,135.0,135.0,135.0,2000
20200803,112000,135.0,135.0,135.0,135.0,48
20200803,112300,134.72,134.72,134.72,134.72,1
20200803,112400,134.71,134.71,134.71,134.71,50
20200803,112600,134.71,134.79,134.71,134.71,173
20200803,112700,134.71,134.71,134.71,134.71,15
20200803,112800,134.71,134.71,134.71,134.71,14
20200803,112900,134.71,134.89,134.71,134.89,44
20200803,130200,134.71,134.71,134.71,134.71,29
20200803,130700,134.71,134.71,134.71,134.71,1
20200803,130900,134.71,134.72,134.71,134.72,55
20200803,132300,134.89,134.89,134.89,134.89,1
20200803,132500,134.71,134.71,134.71,134.71,100
20200803,132700,134.71,134.71,134.71,134.71,2
20200803,133400,134.72,134.72,134.71,134.71,252
20200803,133600,134.71,134.71,134.71,134.71,49
20200803,133800,134.71,134.71,134.71,134.71,35
20200803,134600,134.6,134.6,134.6,134.6,1
20200803,134900,134.9,134.9,134.9,134.9,229
20200803,135000,134.9,134.9,134.9,134.9,71
20200803,135200,134.56,134.56,134.56,134.56,1
20200803,140000,134.6,134.6,134.6,134.6,2438
20200803,140100,134.6,134.6,134.6,134.6,81
20200803,140600,134.56,134.56,134.56,134.56,1
20200803,140700,134.6,134.6,134.6,134.6,100
20200803,141000,134.6,134.6,134.6,134.6,25
20200803,141100,134.56,134.6,134.56,134.6,31
20200803,141200,134.6,134.6,134.55,134.55,13
20200803,141400,134.55,134.55,134.55,134.55,4
20200803,141500,134.6,134.95,134.6,134.95,199
20200803,141600,134.94,134.94,134.65,134.86,71
20200803,141700,134.66,134.82,134.63,134.63,33
20200803,141800,134.7,134.8,134.65,134.79,1624
20200803,141900,134.8,134.8,134.78,134.8,129
20200803,142000,134.8,134.85,134.8,134.85,193
20200803,142100,134.83,134.96,134.8,134.96,127
20200803,142200,134.96,134.99,134.96,134.98,162
20200803,142300,134.99,134.99,134.99,134.99,99
20200803,142400,134.98,135.5,134.98,135.5,4483
20200803,142500,135.5,135.92,135.5,135.92,408
20200803,142600,136.0,137.53,136.0,137.0,293
20200803,142700,137.44,137.52,137.06,137.52,231
20200803,142800,137.52,138.4,137.51,138.4,1013
20200803,142900,138.5,138.5,137.6,137.6,158
20200803,143000,137.64,137.74,137.6,137.6,518
20200803,143100,137.6,137.6,137.6,137.6,1345
20200803,143200,137.1,137.11,137.1,137.11,11
20200803,143300,137.13,137.13,137.13,137.13,1
20200803,143400,137.13,137.13,136.8,136.8,99
20200803,143500,136.8,136.8,136.06,136.06,79
20200803,143700,136.21,136.21,136.21,136.21,1
20200803,143800,136.69,136.69,136.69,136.69,3
20200803,143900,136.71,136.71,136.71,136.71,5
20200803,144100,136.8,136.81,136.8,136.81,27
20200803,144400,136.8,136.8,136.8,136.8,9
20200803,144500,136.58,136.58,136.58,136.58,1
20200803,144600,136.8,136.8,136.79,136.79,2
20200803,144700,136.8,136.8,136.56,136.56,10
20200803,144800,136.56,136.8,136.56,136.8,51
20200803,144900,136.56,136.56,136.56,136.56,1
20200803,145000,136.8,136.8,136.79,136.79,51
20200803,145200,136.55,136.55,136.51,136.51,8
20200803,145300,136.03,136.03,135.0,135.0,306
20200803,145400,135.12,135.12,135.12,135.12,15
20200803,145500,135.6,135.6,135.6,135.6,10
