<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94200,142.71,142.71,142.5,142.62,3504
20200804,94300,142.65,142.68,142.62,142.68,280
20200804,94400,142.69,142.91,142.69,142.87,1777
20200804,94500,142.91,142.93,142.81,142.88,632
20200804,94600,142.88,143.33,142.88,143.27,970
20200804,94700,143.27,143.27,143.0,143.0,515
20200804,94800,143.06,143.23,143.03,143.2,316
20200804,94900,143.23,143.4,143.17,143.28,564
20200804,95000,143.35,143.44,143.28,143.38,559
20200804,95100,143.4,143.68,143.4,143.68,749
20200804,95200,143.68,144.1,143.66,144.09,516
20200804,95300,144.12,144.87,144.12,144.6,811
20200804,95400,144.43,144.8,144.1,144.34,663
20200804,95500,144.34,144.7,144.34,144.7,330
20200804,95600,144.6,145.8,144.6,145.67,1879
20200804,95700,145.67,146.1,145.01,145.67,3300
20200804,95800,145.5,145.64,145.05,145.12,1145
20200804,95900,145.12,145.32,145.12,145.13,497
20200804,100000,145.15,145.39,145.13,145.3,529
20200804,100100,145.21,145.23,144.5,144.54,1053
20200804,100200,144.56,144.92,144.5,144.92,987
20200804,100300,144.92,145.31,144.92,145.28,1506
20200804,100400,145.4,145.65,145.4,145.4,1535
20200804,100500,145.4,145.77,145.4,145.77,924
20200804,100600,145.77,145.85,145.77,145.78,766
20200804,100700,145.8,145.8,145.51,145.66,1193
20200804,100800,145.67,145.77,145.3,145.44,886
20200804,100900,145.43,145.49,145.35,145.48,793
20200804,101000,145.37,145.7,145.37,145.61,526
20200804,101100,145.61,145.82,145.61,145.73,911
20200804,101200,145.78,145.78,145.66,145.66,843
20200804,101300,145.6,145.77,145.54,145.77,828
20200804,101400,145.77,145.92,145.63,145.84,1674
20200804,101500,145.83,145.98,145.83,145.97,438
20200804,101600,145.95,146.29,145.95,146.29,2239
20200804,101700,146.23,146.48,146.23,146.45,1300
20200804,101800,146.48,146.78,146.48,146.66,1064
20200804,101900,146.73,147.2,146.66,147.0,1563
20200804,102000,146.8,146.96,146.51,146.7,1503
20200804,102100,146.6,146.64,146.4,146.4,888
20200804,102200,146.31,146.4,146.0,146.38,627
20200804,102300,146.37,146.37,146.0,146.17,1178
20200804,102400,146.17,146.31,146.14,146.3,468
20200804,102500,146.3,146.72,146.3,146.53,704
20200804,102600,146.75,147.04,146.75,146.98,571
20200804,102700,147.0,147.12,146.98,147.12,848
20200804,102800,147.08,147.15,147.03,147.14,706
20200804,102900,147.14,147.16,147.0,147.15,715
20200804,103000,147.15,147.18,147.15,147.18,691
20200804,103100,147.18,147.8,147.17,147.4,1998
20200804,103200,147.45,147.68,147.4,147.59,908
20200804,103300,147.59,147.89,147.59,147.89,1270
20200804,103400,147.85,147.98,147.79,147.8,874
20200804,103500,147.89,148.2,147.87,148.2,2680
20200804,103600,148.22,148.25,147.52,147.7,1964
20200804,103700,147.54,147.66,145.2,146.69,1403
20200804,103800,147.0,147.6,146.5,146.91,948
20200804,103900,146.92,147.17,146.51,147.17,825
20200804,104000,147.11,147.49,147.0,147.2,880
20200804,104100,147.2,147.49,147.2,147.46,726
20200804,104200,147.4,147.55,147.4,147.55,784
20200804,104300,147.55,147.6,147.54,147.6,2103
20200804,104400,147.55,147.67,147.17,147.17,1492
20200804,104500,147.25,147.47,147.25,147.33,335
20200804,104600,147.33,147.34,147.07,147.15,264
20200804,104700,147.2,147.25,147.13,147.15,395
20200804,104800,147.13,147.13,146.57,146.85,548
20200804,104900,146.64,146.79,146.64,146.79,287
20200804,105000,146.75,146.98,146.75,146.9,135
20200804,105100,146.9,147.2,146.9,147.19,784
20200804,105200,147.19,147.25,147.0,147.08,538
20200804,105300,147.08,147.59,147.08,147.59,267
20200804,105400,147.57,147.57,147.29,147.38,230
20200804,105500,147.38,147.51,147.38,147.5,205
20200804,105600,147.51,147.69,147.51,147.53,783
20200804,105700,147.6,147.6,147.48,147.5,409
20200804,105800,147.32,147.49,147.26,147.26,414
20200804,105900,147.28,147.43,147.28,147.43,71
20200804,110000,147.42,147.52,147.42,147.49,585
20200804,110100,147.48,147.74,147.48,147.6,653
20200804,110200,147.6,147.61,147.36,147.43,403
20200804,110300,147.43,147.43,147.27,147.43,157
20200804,110400,147.43,147.5,147.43,147.49,329
20200804,110500,147.49,147.49,147.37,147.43,212
20200804,110600,147.43,147.5,147.43,147.49,241
20200804,110700,147.49,147.49,147.43,147.43,409
20200804,110800,147.43,147.47,147.43,147.46,246
20200804,110900,147.46,147.5,147.37,147.49,415
20200804,111000,147.49,147.5,147.39,147.39,418
20200804,111100,147.38,147.49,147.38,147.49,243
20200804,111200,147.49,147.6,147.46,147.46,553
20200804,111300,147.46,147.59,147.46,147.57,183
20200804,111400,147.57,147.57,147.53,147.57,258
20200804,111500,147.52,147.59,147.52,147.59,301
20200804,111600,147.59,147.6,147.46,147.46,374
20200804,111700,147.46,147.8,147.46,147.8,949
20200804,111800,147.87,147.92,147.6,147.6,973
20200804,111900,147.52,147.57,147.25,147.49,590
20200804,112000,147.58,147.98,147.58,147.98,660
20200804,112100,147.84,148.0,147.8,147.92,434
20200804,112200,147.92,148.0,147.87,147.88,1027
20200804,112300,147.88,148.0,147.88,147.91,1774
20200804,112400,147.87,147.87,147.54,147.58,454
20200804,112500,147.56,147.76,147.56,147.7,358
20200804,112600,147.63,147.68,147.48,147.48,551
20200804,112700,147.55,147.72,147.48,147.72,463
