amount,chg,close,close_diff,dea,dea_chng_pct,dif,dif_chng_pct,dif_cross_dea_above,dif_cross_dea_below,ema_12,ema_26,high,low,macd,macd_chng_pct,open,percent,pre_dea,pre_dif,pre_macd,pre_macd_chng_pct,rsi12,rsi24,rsi6,turnoverrate,volume,volume_chng,volume_diff
3532110.0,-0.34,257.46,0,0,0,0.0,0,False,False,257.46,257.46,257.92,257.08,0.0,0,257.91,-0.13,,,,,,,,0.0,-0.34,0,0
5079750.0,-0.56,256.9,-0.5600000000000023,-0.00893447293448162,0,-0.044672364672408094,0,False,False,257.3738461538461,257.4185185185185,257.59,256.66,-0.07147578347585296,0,257.27,-0.22,0,0.0,0.0,0,,,,0.0,-0.56,0.6470588235294118,-0.22000000000000003
2547295.0,-0.23,256.67,-0.22999999999996135,-0.02664969277846922,-1.9827940577913274,-0.0975105721544196,-1.1827940577913274,False,False,257.2655621301775,257.3630727023319,257.0,256.6,-0.14172175875190077,-0.9827940577913271,257.0,-0.09,-0.00893447293448162,-0.044672364672408094,-0.07147578347585296,0,,,,0.0,-0.23,-0.5892857142857143,0.33000000000000007
3899636.0,-0.53,256.14,-0.5300000000000296,-0.05733495399210188,-1.1514302047948506,-0.1800759988466325,-0.8467330758911014,False,False,257.0923987255348,257.2724747243814,256.66,255.81,-0.24548208970906124,-0.7321411466449843,256.38,-0.21,-0.02664969277846922,-0.0975105721544196,-0.14172175875190077,-0.9827940577913271,,,,0.0,-0.53,1.3043478260869568,-0.30000000000000004
2321311.0,0.84,256.98,0.8400000000000318,-0.08100862640742836,-0.41290121936066465,-0.17570331606873424,0.024282429673609073,False,False,257.07510661391404,257.2508099299828,257.47,256.16,-0.18938937932261177,0.2285002154451636,256.17,0.33,-0.05733495399210188,-0.1800759988466325,-0.24548208970906124,-0.7321411466449843,,,,0.0,0.84,-2.5849056603773586,1.37
2227228.0,0.09,257.07,0.08999999999997499,-0.097426025292285,-0.2026623535410446,-0.16309562083171159,0.07175559072596324,False,False,257.0743209810042,257.2374166018359,257.07,256.68,-0.13133919107885317,0.3065123738796044,256.79,0.04,-0.08100862640742836,-0.17570331606873424,-0.18938937932261177,0.2285002154451636,,,41.33333333333364,0.0,0.09,-0.8928571428571429,-0.75
3646474.0,-0.2,256.87,-0.19999999999998863,-0.11140353489959609,-0.1434679241545323,-0.16731357332884045,-0.025861837832427827,False,False,257.0428869839266,257.21020055725546,257.22,256.8,-0.11182007685848872,0.14861606851716944,257.07,-0.08,-0.097426025292285,-0.16309562083171159,-0.13133919107885317,0.3065123738796044,,,37.959183673469845,0.0,-0.2,-3.2222222222222228,-0.29000000000000004
2788765.0,0.8,257.67,0.8000000000000114,-0.11010160107170056,0.011686647367778052,-0.10489386576011839,0.3730701958414425,True,False,257.1393659094764,257.2442597752365,257.67,256.87,0.010415470623164336,1.0931449066731138,256.87,0.31,-0.11140353489959609,-0.16731357332884045,-0.11182007685848872,0.14861606851716944,,,64.31226765799329,0.0,0.8,-5.0,1.0
4711839.0,1.1,258.77,1.099999999999966,-0.08149025626327913,0.2598631130694375,0.03295512297040659,1.3141758837048834,False,False,257.39023269263384,257.35727756966344,258.88,257.7,0.22889075846737145,20.97603610520596,257.7,0.43,-0.11010160107170056,-0.10489386576011839,0.010415470623164336,1.0931449066731138,,,79.49438202247141,0.0,1.1,0.37500000000000006,0.30000000000000004
5771382.0,0.58,259.35,0.5800000000000409,-0.02782246166495919,0.6585792836990199,0.1868487167283206,4.669792732866119,False,False,257.6917353553056,257.50488663857726,259.58,258.58,0.4293423567865596,0.8757522569342294,258.58,0.22,-0.08149025626327913,0.03295512297040659,0.22889075846737145,20.97603610520596,,,94.45983379501418,0.0,0.58,-0.47272727272727283,-0.5200000000000001
7893696.0,0.46,259.81,0.45999999999997954,0.04613932011996692,2.6583478728654977,0.3419864472596714,0.8302852342139562,False,False,258.0176222237201,257.6756357764604,259.81,259.05,0.591694254279409,0.3781408820410421,259.33,0.18,-0.02782246166495919,0.1868487167283206,0.4293423567865596,0.8757522569342294,,,93.80804953560398,0.0,0.46,-0.20689655172413784,-0.11999999999999994
4127844.0,-1.42,258.39,-1.420000000000016,0.10618334959752129,1.3013635511193877,0.3463594675077388,0.012787115638962607,False,False,258.0749111123785,257.7285516448708,259.68,258.0,0.48035223582043507,-0.18817491914734089,259.68,-0.55,0.04613932011996692,0.3419864472596714,0.591694254279409,0.3781408820410421,56.82819383259917,,64.47368421052624,0.0,-1.42,-4.08695652173913,-1.88
2653037.0,0.59,258.98,0.5900000000000318,0.16352748639791842,0.5400482939910548,0.3929040335995069,0.13438225444415805,False,False,258.214155556628,257.8212515230285,259.43,258.53,0.4587530944031769,-0.044965214704095466,258.53,0.23,0.10618334959752129,0.3463594675077388,0.48035223582043507,-0.18817491914734089,60.27027027027049,,71.31313131313125,0.0,0.59,-1.4154929577464788,2.01
3935917.0,0.21,259.19,0.20999999999997954,0.21915102349683538,0.3401479367423641,0.4416451718925032,0.12405354520406604,False,False,258.3642854709929,257.9226402991004,259.6,258.92,0.4449882967913356,-0.030004806026973738,258.92,0.08,0.16352748639791842,0.3929040335995069,0.4587530944031769,-0.044965214704095466,66.24113475177317,,67.4311926605502,0.0,0.21,-0.6440677966101696,-0.38
