amount,chg,close,close_diff,high,low,open,percent,volume,volume_chng,volume_diff
-0.5569984695346476,-0.097,171.5,-0.09700000000000841,171.597,171.28,171.597,-0.06,-0.097,-1.1987704918032787,-0.585
-0.0036770993671968533,-0.21,171.29,-0.21000000000000796,171.5,171.201,171.5,-0.12,-0.21,1.1649484536082473,-0.11299999999999999
2.4427431121792123,0.127,171.417,0.12700000000000955,171.417,171.2,171.409,0.07,0.127,-1.6047619047619046,0.33699999999999997
2.9248792113962616,-0.516,170.901,-0.5159999999999911,171.417,170.901,171.417,-0.3,-0.516,-5.062992125984252,-0.643
-0.615386667547468,0.31,171.211,0.3100000000000023,171.329,170.901,170.901,0.18,0.31,-1.6007751937984498,0.8260000000000001
0.5729356934530789,-0.203,171.008,-0.20300000000000296,171.211,170.9,171.211,-0.12,-0.203,-1.6548387096774193,-0.513
-0.3712303999697613,0.095,171.103,0.09499999999999886,171.262,170.945,171.163,0.06,0.095,-1.4679802955665027,0.29800000000000004
-0.1311004017673757,0.009,171.112,0.00899999999998613,171.327,171.103,171.103,0.01,0.009,-0.9052631578947369,-0.08600000000000001
1.6330619743861754,0.012,171.124,0.012000000000000455,171.327,170.9,171.112,0.01,0.012,0.3333333333333335,0.003000000000000001
-0.975022224687577,-0.036,171.088,-0.036000000000001364,171.088,170.915,170.915,-0.02,-0.036,-4.0,-0.048
56.79627140435977,-0.187,170.901,-0.1869999999999834,171.182,170.9,171.003,-0.11,-0.187,4.194444444444445,-0.151
-0.6046977001917181,-0.045,170.856,-0.045000000000015916,170.9,170.501,170.9,-0.03,-0.045,-0.7593582887700535,0.14200000000000002
0.07153363091050942,0.044,170.9,0.04400000000001114,171.03,170.56,170.56,0.03,0.044,-1.9777777777777779,0.089
2.9494294581045595,-0.225,170.675,-0.22499999999999432,170.9,170.0,170.603,-0.13,-0.225,-6.113636363636364,-0.269
-0.7479050009187532,0.107,170.782,0.10699999999999932,171.03,170.036,170.036,0.06,0.107,-1.4755555555555555,0.332
-0.37923849713477353,0.118,170.9,0.117999999999995,171.029,170.782,170.782,0.07,0.118,0.10280373831775698,0.010999999999999996
1.3947107195414463,0.124,171.024,0.12399999999999523,171.249,170.9,171.023,0.07,0.124,0.05084745762711869,0.006000000000000005
2.2679433477474746,0.876,171.9,0.8760000000000048,172.0,171.2,171.249,0.51,0.876,6.064516129032258,0.752
-0.5492694839647757,0.499,172.399,0.4989999999999952,172.4,171.601,171.601,0.29,0.499,-0.430365296803653,-0.377
0.5957791390083068,-0.897,171.502,-0.8969999999999914,172.399,171.23,172.399,-0.52,-0.897,-2.797595190380761,-1.396
0.01323331322775503,0.016,171.518,0.015999999999991132,172.0,171.501,171.502,0.01,0.016,-1.0178372352285396,0.913
-0.7375429367083121,-0.028,171.49,-0.027999999999991587,171.7,171.005,171.518,-0.02,-0.028,-2.75,-0.044
2.405130282653235,-0.928,170.562,-0.9279999999999973,171.49,170.556,171.49,-0.54,-0.928,32.142857142857146,-0.9
-0.13218088996090574,0.034,170.596,0.033999999999991815,170.817,170.527,170.6,0.02,0.034,-1.0366379310344829,0.9620000000000001
-0.33007218820102324,0.294,170.89,0.2939999999999827,170.89,170.4,170.595,0.17,0.294,7.647058823529411,0.26
-0.08508710874059244,-0.39,170.5,-0.38999999999998636,171.037,170.5,170.89,-0.23,-0.39,-2.326530612244898,-0.6839999999999999
-0.7715390434563335,0.102,170.602,0.10200000000000387,170.602,170.595,170.6,0.06,0.102,-1.2615384615384615,0.492
3.718661528292239,0.343,170.945,0.3429999999999893,170.951,170.601,170.602,0.2,0.343,2.362745098039216,0.24100000000000005
-0.13511141888266592,-0.045,170.9,-0.044999999999987494,170.951,170.701,170.701,-0.03,-0.045,-1.131195335276968,-0.388
-0.38256200569633403,-0.077,170.823,-0.07699999999999818,170.948,170.711,170.948,-0.05,-0.077,0.7111111111111111,-0.032
0.038890236236840674,-0.028,170.795,-0.02800000000002001,170.888,170.579,170.823,-0.02,-0.028,-0.6363636363636364,0.049
1.353715212684105,0.151,170.946,0.15100000000001046,170.946,170.355,170.795,0.09,0.151,-6.392857142857142,0.179
-0.2594019585220809,-0.435,170.511,-0.4350000000000023,170.944,170.502,170.87,-0.25,-0.435,-3.880794701986755,-0.586
0.19065592207483406,0.489,171.0,0.4890000000000043,171.0,170.511,170.944,0.29,0.489,-2.1241379310344826,0.9239999999999999
-0.46275954123565216,-0.266,170.734,-0.26599999999999113,170.998,170.711,170.711,-0.16,-0.266,-1.5439672801635993,-0.755
0.1625863070823079,-0.214,170.52,-0.21399999999999864,170.813,170.511,170.734,-0.13,-0.214,-0.19548872180451135,0.05200000000000002
0.019422934866097516,0.01,170.53,0.009999999999990905,170.99,170.331,170.522,0.01,0.01,-1.046728971962617,0.224
-0.22785576777486968,0.232,170.762,0.23199999999999932,170.779,170.53,170.53,0.14,0.232,22.2,0.222
0.05589638718473074,-0.004,170.758,-0.003999999999990678,170.763,170.571,170.762,0.0,-0.004,-1.0172413793103448,-0.23600000000000002
-0.2228216171281516,-0.054,170.704,-0.054000000000002046,170.762,170.5,170.762,-0.03,-0.054,12.5,-0.05
0.2615269512181245,-0.204,170.5,-0.20400000000000773,170.698,170.321,170.698,-0.12,-0.204,2.7777777777777777,-0.15
0.2065341171748332,-0.036,170.464,-0.036000000000001364,170.551,170.3,170.5,-0.02,-0.036,-0.8235294117647058,0.16799999999999998
0.669321890080479,-0.098,170.366,-0.09799999999998477,170.552,170.336,170.336,-0.06,-0.098,1.7222222222222225,-0.062000000000000006
