<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200803,112200,117.79,117.85,117.79,117.85,19
20200803,112300,117.85,117.85,117.59,117.7,215
20200803,112400,117.7,117.7,117.61,117.7,61
20200803,112500,117.62,117.7,117.61,117.7,55
20200803,112600,117.64,117.7,117.64,117.7,10
20200803,112700,117.66,117.7,117.59,117.59,15
20200803,112800,117.6,117.6,117.59,117.59,63
20200803,112900,117.08,117.59,117.08,117.58,72
20200803,113000,117.54,117.54,117.25,117.26,55
20200803,130100,117.17,117.59,117.17,117.59,80
20200803,130200,117.59,117.59,117.58,117.58,110
20200803,130300,117.46,117.58,117.46,117.48,72
20200803,130400,117.59,117.59,117.59,117.59,10
20200803,130500,117.59,117.59,117.58,117.58,12
20200803,130600,117.58,117.59,117.58,117.59,10
20200803,130700,117.59,117.59,117.59,117.59,10
20200803,130800,117.59,117.59,117.42,117.42,98
20200803,130900,117.58,117.58,117.54,117.54,10
20200803,131000,117.56,117.56,117.56,117.56,13
20200803,131100,117.56,117.56,117.56,117.56,10
20200803,131200,117.56,117.56,117.56,117.56,10
20200803,131300,117.56,117.56,117.36,117.56,24
20200803,131400,117.56,117.58,117.56,117.58,10
20200803,131500,117.56,117.58,117.56,117.56,32
20200803,131600,117.0,117.0,116.31,117.0,276
20200803,131700,117.68,117.68,117.64,117.67,247
20200803,131800,117.67,117.84,117.67,117.83,8
20200803,131900,117.69,117.81,117.64,117.8,19
20200803,132000,117.8,117.8,117.79,117.79,7
20200803,132100,117.79,117.79,117.2,117.2,822
20200803,132200,117.2,117.2,117.2,117.2,10
20200803,132300,117.2,117.2,117.2,117.2,31
20200803,132400,117.2,117.2,117.2,117.2,60
20200803,132500,117.2,117.84,117.2,117.84,87
20200803,132600,117.83,117.83,117.83,117.83,10
20200803,132700,117.83,117.83,117.82,117.82,17
20200803,132800,117.82,117.82,117.81,117.82,21
20200803,132900,117.57,117.82,117.57,117.82,12
20200803,133000,117.82,117.84,117.82,117.84,11
20200803,133100,117.84,117.84,117.68,117.68,16
20200803,133200,117.82,117.82,117.82,117.82,4
20200803,133300,117.7,117.82,116.75,117.81,28
20200803,133400,116.89,117.81,116.89,117.81,11
20200803,133500,117.3,117.3,117.13,117.13,69
20200803,133600,117.3,117.81,117.3,117.53,388
20200803,133700,117.39,117.7,117.39,117.39,77
20200803,133800,117.37,117.39,117.37,117.39,9
20200803,133900,117.39,117.62,117.2,117.5,14
20200803,134000,117.17,117.36,117.17,117.33,15
20200803,134100,117.33,117.33,117.16,117.17,40
20200803,134200,117.17,117.34,117.17,117.34,7
20200803,134300,117.3,117.34,117.3,117.34,22
20200803,134400,117.2,117.51,117.2,117.36,12
20200803,134500,117.23,117.43,117.23,117.43,12
20200803,134600,117.19,117.56,117.19,117.54,11
20200803,134700,117.52,117.52,117.34,117.52,11
20200803,134800,117.3,117.5,117.3,117.48,215
20200803,134900,117.45,117.45,117.43,117.43,10
20200803,135000,117.56,117.58,117.56,117.58,8
20200803,135100,117.58,117.65,117.58,117.65,16
20200803,135200,117.64,117.66,117.64,117.66,10
20200803,135300,117.49,117.67,117.49,117.67,48
20200803,135400,117.67,117.68,117.67,117.68,26
20200803,135500,117.68,117.68,117.6,117.6,13
20200803,135600,117.68,117.68,117.68,117.68,9
20200803,135700,117.68,117.85,117.68,117.85,204
20200803,135800,117.85,117.85,117.85,117.85,144
20200803,135900,117.85,117.85,117.79,117.79,179
20200803,140000,117.85,117.85,117.69,117.77,111
20200803,140100,117.74,117.74,117.7,117.7,10
20200803,140200,117.51,117.51,117.34,117.34,24
20200803,140300,117.64,117.64,117.44,117.59,18
20200803,140400,117.48,117.48,117.3,117.3,35
20200803,140500,117.32,117.65,117.32,117.65,14
20200803,140600,117.65,117.65,117.3,117.3,950
20200803,140700,117.32,117.32,117.3,117.3,48
20200803,140800,117.28,117.44,117.28,117.44,12
20200803,140900,117.39,117.39,117.21,117.21,13
20200803,141000,117.28,117.46,117.27,117.46,18
20200803,141100,117.44,117.44,117.42,117.42,10
20200803,141200,117.45,117.45,117.18,117.18,33
20200803,141300,117.27,117.27,117.06,117.24,13
20200803,141400,117.07,117.2,117.07,117.2,10
20200803,141500,117.08,117.09,117.0,117.0,24
20200803,141600,117.09,117.09,117.09,117.09,3
20200803,141700,117.09,117.09,117.08,117.08,13
20200803,141800,117.07,117.15,117.07,117.13,13
20200803,141900,117.11,117.11,116.89,116.92,22
20200803,142000,116.94,116.94,116.94,116.94,6
20200803,142100,116.77,116.9,116.75,116.9,12
20200803,142200,116.9,116.91,116.61,116.91,11
20200803,142300,116.9,116.9,116.9,116.9,12
20200803,142400,116.8,116.8,116.67,116.68,16
20200803,142500,116.8,116.92,116.8,116.92,20
20200803,142600,116.9,116.9,116.9,116.9,6
20200803,142700,116.9,116.9,116.9,116.9,10
20200803,142800,116.91,116.91,116.91,116.91,32
20200803,142900,116.69,116.87,116.69,116.87,41
20200803,143000,116.5,116.87,116.5,116.83,80
20200803,143100,116.82,116.82,116.79,116.79,10
20200803,143200,116.62,116.74,116.62,116.72,10
20200803,143300,116.72,116.72,116.62,116.62,14
20200803,143400,116.78,116.78,116.57,116.57,14
20200803,143500,116.74,116.75,116.59,116.6,19
20200803,143600,116.73,116.73,116.53,116.73,14
20200803,143700,116.73,116.73,116.71,116.73,13
20200803,143800,116.74,116.74,116.74,116.74,9
20200803,143900,116.74,117.0,116.74,116.99,196
20200803,144400,116.7,117.0,116.7,117.0,984
20200803,144500,117.02,117.02,117.02,117.02,32
20200803,144600,117.02,117.13,117.0,117.0,127
20200803,144700,116.77,116.77,116.77,116.77,7
20200803,144900,116.77,116.77,116.77,116.77,1
20200803,145000,116.76,116.76,116.76,116.76,1
20200803,145100,116.81,116.81,116.81,116.81,1
20200803,145200,116.76,116.76,116.7,116.7,58
20200803,145400,116.39,116.39,116.39,116.39,38
20200803,145600,116.97,116.99,116.97,116.99,35
20200803,145700,116.98,116.99,116.98,116.99,6
20200803,150000,116.99,116.99,116.99,116.99,0
20200804,93100,117.9,117.9,117.9,117.9,11
20200804,93200,117.8,117.86,117.8,117.86,2
20200804,93300,117.86,117.86,117.85,117.85,6
20200804,93400,117.83,117.83,117.83,117.83,1
20200804,93500,116.42,116.42,116.42,116.42,1
20200804,93600,116.46,116.46,116.46,116.46,54
20200804,93700,116.54,116.54,116.54,116.54,23
20200804,93800,116.84,116.84,116.84,116.84,1
20200804,93900,116.86,116.86,116.86,116.86,1
20200804,94000,117.79,117.79,117.79,117.79,34
20200804,94100,117.37,117.37,116.62,116.99,42
20200804,94200,117.8,117.8,117.48,117.49,34
20200804,94300,116.86,116.86,116.86,116.86,2
20200804,94400,116.86,117.75,116.86,117.75,10
20200804,94500,117.75,117.75,117.75,117.75,14
20200804,94600,117.62,117.64,117.39,117.64,26
20200804,94700,117.63,117.63,117.4,117.4,21
20200804,94800,116.7,116.7,116.7,116.7,1
20200804,94900,117.18,117.18,117.18,117.18,1
20200804,95100,117.12,117.12,116.69,116.7,90
20200804,95200,117.16,117.16,116.93,116.93,4
20200804,95300,116.65,116.65,116.64,116.64,4
20200804,95400,116.64,116.69,116.44,116.69,41
20200804,95500,116.97,116.97,116.97,116.97,1
20200804,95600,116.96,116.96,116.96,116.96,1
20200804,95700,116.76,116.76,116.74,116.74,8
20200804,95800,116.74,116.87,116.74,116.75,6
20200804,95900,116.75,116.96,116.54,116.95,10
20200804,100000,116.75,116.76,116.51,116.74,6
20200804,100100,116.51,116.51,116.21,116.21,6
20200804,100200,116.81,116.81,116.45,116.7,6
20200804,100300,116.69,116.69,116.69,116.69,3
20200804,100400,116.69,116.7,116.46,116.46,8
20200804,100500,116.64,116.64,116.45,116.45,4
20200804,100600,116.63,116.63,116.22,116.22,8
20200804,100700,116.47,116.55,116.2,116.43,8
20200804,100800,116.2,116.4,116.2,116.22,11
20200804,100900,116.4,116.47,116.4,116.47,2
20200804,101000,116.19,116.43,116.19,116.34,76
20200804,101100,116.37,116.42,116.19,116.39,53
20200804,101200,116.37,116.37,116.19,116.35,43
20200804,101300,116.35,116.5,116.2,116.5,46
20200804,101400,116.5,116.5,116.43,116.43,5
20200804,101500,116.43,116.45,116.2,116.45,3
20200804,101600,116.45,116.45,116.41,116.41,4
20200804,101700,116.26,116.42,116.26,116.42,2
20200804,101800,116.43,116.44,116.21,116.44,3
20200804,101900,116.55,116.55,116.43,116.44,12
20200804,102000,116.44,116.44,116.43,116.43,2
20200804,102100,116.19,116.41,116.19,116.19,68
20200804,102200,116.39,116.39,116.37,116.37,3
20200804,102300,116.19,116.34,116.19,116.34,56
20200804,102400,116.35,116.35,116.35,116.35,7
20200804,102500,116.35,116.35,116.35,116.35,5
20200804,102600,116.35,116.63,116.35,116.63,15
20200804,102700,116.63,116.63,116.62,116.62,2
20200804,102800,116.62,116.62,116.62,116.62,1
20200804,102900,116.62,116.62,116.6,116.6,2
20200804,103000,116.6,116.6,116.4,116.4,3
20200804,103100,116.57,116.6,116.57,116.59,4
20200804,103200,116.59,116.6,116.59,116.6,13
20200804,103300,116.58,116.81,116.58,116.81,467
20200804,103400,116.99,117.34,116.99,117.34,127
20200804,103500,117.15,117.33,117.11,117.11,56
20200804,103600,117.31,117.31,117.11,117.28,27
20200804,103700,117.11,117.35,117.11,117.35,19
20200804,103800,117.32,117.33,117.32,117.32,19
20200804,103900,117.31,117.31,117.14,117.2,61
20200804,104000,117.2,117.3,117.2,117.3,79
