<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94200,139.54,139.54,138.9,139.15,776
20200804,94300,139.09,139.14,138.92,139.03,742
20200804,94400,138.95,139.05,138.81,138.81,814
20200804,94500,138.81,139.02,138.68,138.68,795
20200804,94600,138.79,138.88,138.12,138.4,3963
20200804,94700,138.49,138.73,138.17,138.21,488
20200804,94800,138.35,138.35,138.0,138.14,825
20200804,94900,138.14,138.14,137.51,137.66,713
20200804,95000,137.75,137.75,137.3,137.51,546
20200804,95100,137.48,137.91,137.43,137.67,966
20200804,95200,137.85,137.91,137.68,137.89,452
20200804,95300,137.89,137.95,137.78,137.78,440
20200804,95400,137.76,137.76,137.57,137.57,339
20200804,95500,137.62,137.89,137.53,137.53,1859
20200804,95600,137.69,137.69,137.27,137.47,1310
20200804,95700,137.37,137.37,137.16,137.29,1377
20200804,95800,137.01,137.29,137.01,137.12,1009
20200804,95900,137.23,137.24,136.8,136.99,1680
20200804,100000,136.99,137.35,136.83,137.35,1843
20200804,100100,137.26,137.48,137.24,137.29,933
20200804,100200,137.29,137.43,137.25,137.3,1125
20200804,100300,137.43,137.43,137.04,137.04,597
20200804,100400,137.17,137.33,137.17,137.22,2387
20200804,100500,137.17,137.21,137.05,137.09,972
20200804,100600,137.08,137.14,137.0,137.0,1743
20200804,100700,137.0,137.09,136.86,136.95,550
20200804,100800,136.98,137.0,136.79,136.91,1112
20200804,100900,136.96,136.99,136.72,136.72,402
20200804,101000,136.79,136.83,136.63,136.65,383
20200804,101100,136.65,136.81,136.65,136.7,744
20200804,101200,136.76,136.94,136.68,136.79,955
20200804,101300,136.74,136.92,136.74,136.91,630
20200804,101400,136.92,136.97,136.73,136.87,482
20200804,101500,136.87,137.28,136.81,137.15,2378
20200804,101600,137.21,137.46,137.21,137.34,1232
20200804,101700,137.39,137.43,137.32,137.4,1450
20200804,101800,137.43,137.7,137.43,137.7,2317
20200804,101900,137.74,137.89,137.68,137.68,1066
20200804,102000,137.67,137.67,137.53,137.53,1520
20200804,102100,137.5,137.5,137.4,137.44,1179
20200804,102200,137.43,137.45,137.3,137.45,595
20200804,102300,137.4,137.59,137.4,137.43,900
20200804,102400,137.4,137.42,137.3,137.36,767
20200804,102500,137.35,137.39,137.08,137.08,3075
20200804,102600,137.01,137.11,136.98,137.08,1193
20200804,102700,137.02,137.11,137.0,137.05,587
20200804,102800,137.03,137.08,136.97,137.05,1145
20200804,102900,137.02,137.1,136.98,137.05,800
20200804,103000,137.05,137.3,137.04,137.29,1522
20200804,103100,137.2,137.4,137.2,137.34,1377
20200804,103200,137.35,137.39,137.2,137.31,583
20200804,103300,137.28,137.28,137.22,137.25,399
20200804,103400,137.23,137.24,137.2,137.24,568
