amount,chg,close,close_diff,dea,dea_chng_pct,dif,dif_chng_pct,dif_cross_dea_above,dif_cross_dea_below,ema_12,ema_26,high,low,macd,macd_chng_pct,open,percent,pre_dea,pre_dif,pre_macd,pre_macd_chng_pct,rsi12,rsi24,rsi6,turnoverrate,volume,volume_chng,volume_diff
5125321.0,0.293,177.75,0,0,0,0.0,0,False,False,177.75,177.75,177.75,177.2,0.0,0,177.456,0.17,,,,,,,,0.0,0.293,0,0
9174144.0,0.37,178.12,0.37000000000000455,0.0059031339031321295,0,0.029515669515660647,0,False,False,177.80692307692308,177.77740740740742,178.223,177.769,0.047225071225057036,0,177.891,0.21,0,0.0,0.0,0,,,,0.0,0.37,0.26279863481228677,0.07700000000000001
5664778.0,-0.12,178.0,-0.12000000000000455,0.01326880138959723,1.2477554477558046,0.04273147133545763,0.4477554477558044,False,False,177.83662721893492,177.79389574759946,178.203,177.942,0.058925339891720795,0.24775544775580438,178.079,-0.07,0.0059031339031321295,0.029515669515660647,0.047225071225057036,0,,,,0.0,-0.12,-1.3243243243243243,-0.49
2695892.0,-0.3,177.7,-0.30000000000001137,0.016348469062589858,0.23209840757787623,0.028667139754560367,-0.32913286487345894,False,False,177.81560764679108,177.78694050703652,178.079,177.7,0.024637341383941018,-0.5818888541124453,178.079,-0.17,0.01326880138959723,0.04273147133545763,0.058925339891720795,0.24775544775580438,,,,0.0,-0.3,1.5,-0.18
7805791.0,-0.044,177.656,-0.04399999999998272,0.015841058047838488,-0.031037219008627315,0.01381141398883301,-0.5182144397005672,False,True,177.79105262420785,177.77724121021902,177.94,177.613,-0.004059288118010956,-1.1647616134692544,177.8,-0.02,0.016348469062589858,0.028667139754560367,0.024637341383941018,-0.5818888541124453,,,,0.0,-0.044,-0.8533333333333334,0.256
4664347.0,0.345,178.001,0.34499999999999886,0.018580103457382757,0.1729079838778832,0.029536285095559833,1.13854172494148,True,False,177.82335222048354,177.79381593538798,178.001,177.471,0.021912363276354152,6.398080313424801,177.471,0.19,0.015841058047838488,0.01381141398883301,-0.004059288118010956,-1.1647616134692544,,,60.64461407972877,0.0,0.345,-8.84090909090909,0.38899999999999996
9475750.0,0.398,178.399,0.39799999999999613,0.02951788930864834,0.588682720543167,0.07326903271371066,1.4806448230256666,False,False,177.91191341733222,177.8386443846185,178.43,178.056,0.08750228681012463,2.9932838693190713,178.056,0.22,0.018580103457382757,0.029536285095559833,0.021912363276354152,6.398080313424801,,,70.5770450221941,0.0,0.398,0.15362318840579725,0.05300000000000005
10536228.0,-0.239,178.16,-0.23900000000000432,0.04114072737093441,0.39375573032184025,0.08763207962007868,0.19603161628309998,False,False,177.95008058389647,177.8624485042764,178.6,178.16,0.09298270449828855,0.06263170812959591,178.4,-0.13,0.02951788930864834,0.07326903271371066,0.08750228681012463,2.9932838693190713,,,51.38312586445339,0.0,-0.239,-1.600502512562814,-0.637
6202728.0,0.61,178.77,0.6100000000000136,0.062222080202972194,0.5124205180419729,0.14654749153112334,0.6723041626590096,False,False,178.07622203252777,177.92967454099664,178.868,178.136,0.1686508226563023,0.8137870216434338,178.16,0.34,0.04114072737093441,0.08763207962007868,0.09298270449828855,0.06263170812959591,,,69.88636363636382,0.0,0.61,-3.5523012552301254,0.849
4138902.0,-0.291,178.479,-0.2909999999999968,0.08334217575031791,0.33943088174568714,0.1678225579397008,0.1451752342281418,False,False,178.13818787367734,177.97036531573764,178.771,178.386,0.16896076437876578,0.001837771779477909,178.716,-0.16,0.062222080202972194,0.14654749153112334,0.1686508226563023,0.8137870216434338,,,70.21276595744753,0.0,-0.291,-1.477049180327869,-0.901
8597341.0,0.254,178.733,0.2539999999999907,0.10724187214864894,0.2867659283329889,0.20284065774197302,0.20866145905638225,False,False,178.22969743157313,178.02685677383116,178.733,178.496,0.19119757118664815,0.13160929337436753,178.496,0.14,0.08334217575031791,0.1678225579397008,0.16896076437876578,0.001837771779477909,,,75.19887693027604,0.0,0.254,-1.8728522336769757,0.5449999999999999
9711765.0,0.167,178.9,0.1670000000000016,0.13405086847794823,0.24998627674215804,0.24128685379514536,0.1895389044837278,False,False,178.3328209036388,178.09153404984366,178.9,178.67,0.21447197063439427,0.12172957691510379,178.7,0.09,0.10724187214864894,0.20284065774197302,0.19119757118664815,0.13160929337436753,68.32377310388789,,72.9453802960694,0.0,0.167,-0.34251968503937,-0.087
14256301.0,0.5,179.4,0.5,0.16894966468636224,0.2603399485931341,0.30854484952001826,0.27874703767315695,False,False,178.49700230307897,178.18845745355895,179.4,178.866,0.27919036966731203,0.30175690949957196,178.98,0.28,0.13405086847794823,0.24128685379514536,0.21447197063439427,0.12172957691510379,72.67729521715232,,74.28432799611842,0.0,0.5,1.9940119760479038,0.33299999999999996
17042543.0,-0.179,179.221,-0.17900000000000205,0.2038486272521054,0.2065642606070246,0.343444477515078,0.11311038913581176,False,False,178.60838656414376,178.26494208662868,179.379,178.999,0.2791917005259452,4.766850069979255e-06,179.36,-0.1,0.16894966468636224,0.30854484952001826,0.27919036966731203,0.30175690949957196,65.97040905134898,,76.51174412793614,0.0,-0.179,-1.358,-0.679
16950968.0,0.859,180.08,0.8590000000000089,0.2501584638509018,0.22717757398250077,0.43539781024608715,0.2677385683890409,False,False,178.83478863119856,178.39939082095248,180.1,179.347,0.3704786927903707,0.3269688607951375,179.35,0.48,0.2038486272521054,0.343444477515078,0.2791917005259452,4.766850069979255e-06,74.84472049689451,,79.11111111111117,0.0,0.859,-5.798882681564246,1.038
