<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94300,128.498,128.498,127.74,127.998,3343
20200804,94400,127.998,128.12,127.998,128.12,1770
20200804,94500,128.12,128.883,128.12,128.883,80
20200804,94600,128.883,128.883,128.151,128.162,230
20200804,94700,128.162,128.482,128.16,128.163,710
20200804,94800,128.163,128.163,127.997,127.997,1100
20200804,94900,127.998,128.122,127.998,128.01,2060
20200804,95000,128.0,128.0,127.749,127.79,1660
20200804,95100,128.0,128.039,127.8,127.8,1312
20200804,95200,128.0,128.05,127.812,128.0,1241
20200804,95300,128.049,128.1,128.0,128.1,820
20200804,95400,128.1,128.299,128.001,128.002,2600
20200804,95500,128.002,128.002,128.0,128.0,280
20200804,95600,128.0,128.001,128.0,128.0,1910
20200804,95700,128.0,128.0,127.888,127.888,1120
20200804,95800,127.888,128.0,127.85,127.85,1357
20200804,95900,127.85,127.899,127.82,127.82,190
20200804,100000,127.82,127.9,127.82,127.9,90
20200804,100100,127.899,127.967,127.899,127.967,1110
20200804,100200,127.903,127.903,127.823,127.823,260
20200804,100300,127.823,127.823,127.65,127.67,3658
20200804,100400,127.523,127.67,127.501,127.528,1550
20200804,100500,127.528,127.636,127.5,127.5,2061
20200804,100600,127.5,127.796,127.5,127.518,30
20200804,100700,127.518,127.534,127.518,127.534,110
20200804,100800,127.534,127.571,127.534,127.571,220
20200804,100900,127.571,127.797,127.571,127.797,170
20200804,101000,127.797,127.797,127.61,127.61,230
20200804,101100,127.62,127.792,127.62,127.622,70
20200804,101200,127.622,127.79,127.622,127.79,460
20200804,101300,127.636,127.72,127.636,127.64,222
20200804,101400,127.64,127.661,127.64,127.661,210
20200804,101500,127.661,127.779,127.623,127.623,2498
20200804,101600,127.574,127.574,127.5,127.5,7239
20200804,101700,127.45,127.45,127.111,127.2,2121
20200804,101800,127.111,127.2,127.0,127.111,3240
20200804,101900,127.0,127.34,127.0,127.11,7520
20200804,102000,127.11,127.3,127.11,127.297,462
20200804,102100,127.297,127.449,127.242,127.449,1660
20200804,102200,127.3,127.497,127.3,127.301,5710
20200804,102300,127.301,127.301,127.3,127.301,290
20200804,102400,127.3,127.301,127.244,127.3,1090
20200804,102500,127.3,127.3,127.25,127.25,810
20200804,102600,127.251,127.485,127.251,127.482,80
20200804,102700,127.252,127.3,127.252,127.3,150
20200804,102800,127.3,127.366,127.3,127.34,300
20200804,102900,127.34,127.38,127.3,127.3,500
20200804,103000,127.3,127.3,127.23,127.23,560
20200804,103100,127.23,127.389,127.23,127.231,310
20200804,103200,127.231,127.231,127.23,127.231,1625
20200804,103300,127.25,127.4,127.23,127.23,910
20200804,103400,127.23,127.395,127.23,127.23,123
20200804,103500,127.23,127.23,127.201,127.201,1360
20200804,103600,127.201,127.275,127.201,127.275,40
20200804,103700,127.275,127.479,127.275,127.303,60
20200804,103800,127.303,127.478,127.303,127.314,110
20200804,103900,127.313,127.313,127.22,127.225,657
20200804,104000,127.22,127.22,127.2,127.202,2323
20200804,104100,127.202,127.312,127.202,127.312,57
20200804,104200,127.312,127.313,127.242,127.242,320
20200804,104300,127.242,127.242,127.242,127.242,10
20200804,104400,127.242,127.4,127.242,127.364,1180
20200804,104500,127.4,127.47,127.31,127.31,2680
20200804,104600,127.35,127.35,127.301,127.315,530
20200804,104700,127.315,127.35,127.315,127.35,470
20200804,104800,127.35,127.35,127.35,127.35,520
20200804,104900,127.35,127.35,127.25,127.25,1570
