amount,boll_bottom,boll_mid,boll_top,chg,close,close_diff,d,dea,dea_chng_pct,dif,dif_chng_pct,ema_12,ema_26,high,j,k,low,macd,macd_chng_pct,open,percent,pre_dea,pre_dif,pre_macd,pre_macd_chng_pct,rsi12,rsi24,rsi6,volume,volume_chng,volume_diff
-0.30732907930720144,0.9679560682461837,0.9751329695378878,0.9823098708295918,0.24,140.83,0.2400000000000091,68.10825369880402,-0.2277833495871679,-0.017986001828586833,-0.24388145598484812,0.08423091221818729,0.9997962701948007,1.001528013828862,140.85,25.25591484018321,53.824140745930414,140.6,-0.032196212795360446,0.6217056189487103,140.73,0.17,-0.22375882298774782,-0.26631326525290433,-0.08510888453031301,0.20480073838438942,0.3327662332932366,0.326589432248737,0.2907397705727746,0.24,-5.799999999999999,0.29
7.058695022767352,0.9680773215870268,0.9752790899091929,0.982480858231359,0.67,141.5,0.6699999999999875,62.002713598857795,-0.2162427011386947,0.0506650221334849,-0.17008010734480195,0.30261156323681826,0.9958219059781853,0.9970238855353923,141.5,25.36947299918043,49.791633398965345,140.8,0.09232518758778552,3.8675791210166746,140.8,0.48,-0.2277833495871679,-0.24388145598484812,-0.032196212795360446,0.6217056189487103,0.4020228095046672,0.3340024441900716,0.5005889281507676,0.67,1.791666666666667,0.43000000000000005
3.6505124537027966,0.9680298191826823,0.9752232984946945,0.9824167778067067,-0.38,141.12,-0.37999999999999545,59.25985320287338,-0.20112089958482054,0.06992976629613626,-0.14063369336932396,0.17313261636048663,0.9987336454817751,0.9997301994313877,141.36,42.80269082696692,53.774132410904556,141.03,0.12097441243099316,0.31030778914981477,141.2,-0.27,-0.2162427011386947,-0.17008010734480195,0.09232518758778552,3.8675791210166746,0.39599173002534466,0.31704039640547454,0.42162698412698524,-0.38,-1.5671641791044777,-1.05
-0.8830255094229372,0.9680855043278196,0.9750399838470569,0.9819944633662944,0.04,141.16,0.03999999999999204,55.80420209129548,-0.18345063861708455,0.08785889981704142,-0.11276959474614046,0.19813245286823583,0.9986890013265195,0.999487879158385,141.16,35.07029542182815,48.8928998681397,141.15,0.1413620877418882,0.1685288227584876,141.15,0.03,-0.20112089958482054,-0.14063369336932396,0.12097441243099316,0.31030778914981477,0.4164627287324927,0.31578721331257825,0.5249106371647,0.04,-1.1052631578947367,0.42
0.3441665265736449,0.9680026142262792,0.9747636835085891,0.981524752790899,-0.37,140.79,-0.37000000000000455,51.836006195812686,-0.170594369728732,0.0700802623815738,-0.11916929417532174,-0.05675022104662048,1.0011114937685512,1.0019579267124772,140.85,28.026830822916025,43.89961440484713,140.65,0.1028501511068205,-0.2724346905896459,140.85,-0.26,-0.18345063861708455,-0.11276959474614046,0.1413620877418882,0.1685288227584876,0.4005635971106569,0.3092646089642807,0.38557933294775565,-0.37,-10.25,-0.41
0.5080601574957901,0.968102082348128,0.9745219207124299,0.9809417590767318,0.19,140.98,0.18999999999999773,44.40942568910704,-0.1580092065646678,0.07377244151771417,-0.10766855390841101,0.09650758063558594,0.999798858149229,1.0005625732429189,140.98,-0.15005735112684704,29.556264675695743,140.52,0.10068130531251357,-0.02108743420371214,140.6,0.13,-0.170594369728732,-0.11916929417532174,0.1028501511068205,-0.2724346905896459,0.38592207996046757,0.29188376415877526,0.42784409361228576,0.19,-1.5135135135135136,0.56
-0.25220141992695994,0.9681502223686377,0.9743545464689347,0.9805588705692317,0.07,141.05,0.0700000000000216,38.90338744386706,-0.14477675820490704,0.08374479340446005,-0.09184696476586396,0.14694716858560017,0.9994099600472615,1.0000611260505643,141.1,5.867157972427179,27.8913109533871,140.86,0.10585958687808616,0.05143240395522557,140.99,0.05,-0.1580092065646678,-0.10766855390841101,0.10068130531251357,-0.02108743420371214,0.35329865948055716,0.33928335815128247,0.3998252310330327,0.07,-0.631578947368421,-0.12
1.1049573421421612,0.9686555331799509,0.9740862163325378,0.9795168994851248,0.09,141.14,0.08999999999997499,32.927311523648115,-0.13006639787991642,0.10160719515608019,-0.07122495657995387,0.22452574495498745,0.9989614913241237,0.9994661317986876,141.14,-2.9291439976655056,20.97515968321024,140.9,0.1176828825999251,0.1116884740486972,141.05,0.06,-0.14477675820490704,-0.09184696476586396,0.10585958687808616,0.05143240395522557,0.3969701629185627,0.3422085852904279,0.24238717809117674,0.09,0.28571428571428553,0.01999999999999999
-0.39310787340976616,0.968653514062093,0.9740330816520631,0.9794126492420334,-0.04,141.1,-0.03999999999999204,30.127426841059354,-0.11554258137066539,0.11166463241843688,-0.05744731533366121,0.1934383944597637,0.9993608863001443,0.9997680253173921,141.1,13.328118745526822,24.527657475881846,140.7,0.11619053207400837,-0.01268111804322577,140.7,-0.03,-0.13006639787991642,-0.07122495657995387,0.1176828825999251,0.1116884740486972,0.39991900374607614,0.31892274982282,0.34549964564138436,-0.04,-1.4444444444444446,-0.13
-0.3482765997687044,0.9686589337995014,0.9739666633014701,0.9792743928034389,-0.01,141.09,-0.009999999999990905,36.646652888679974,-0.10179324861678969,0.11899797105767675,-0.046795917601286874,0.18541158399674,0.9995191457860797,0.9998508200195568,141.15,75.7620091744037,49.68510498392122,141.05,0.10999466203100564,-0.053325085378352774,141.08,-0.01,-0.11554258137066539,-0.05744731533366121,0.11619053207400837,-0.01268111804322577,0.4608446816336205,0.3223996358419346,0.322167024272066,-0.01,-0.75,0.03
