<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200803,104900,129.7,129.78,129.7,129.78,244
20200803,105000,129.73,129.88,129.71,129.88,20
20200803,105100,129.8,129.8,129.8,129.8,2
20200803,105200,129.7,129.7,129.7,129.7,323
20200803,105300,129.7,129.78,129.64,129.64,15
20200803,105400,129.62,129.66,129.62,129.66,75
20200803,105600,129.64,129.64,129.64,129.64,10
20200803,105700,129.71,129.71,129.7,129.7,102
20200803,105800,129.78,129.79,129.7,129.7,692
20200803,105900,129.7,129.71,129.7,129.71,124
20200803,110000,129.74,129.87,129.74,129.83,84
20200803,110100,130.0,130.0,130.0,130.0,500
20200803,110200,129.98,129.98,129.98,129.98,1
20200803,110600,129.93,129.93,129.93,129.93,4
20200803,110700,129.89,130.0,129.89,130.0,80
20200803,110800,129.81,129.99,129.8,129.99,118
20200803,110900,130.0,130.0,129.99,129.99,51
20200803,111000,129.85,130.0,129.79,129.9,124
20200803,111100,130.2,130.23,130.2,130.23,1990
20200803,111200,130.23,130.23,130.21,130.21,19
20200803,111300,130.16,130.16,130.01,130.04,19
20200803,111400,130.12,130.12,130.0,130.1,234
20200803,111600,130.0,130.0,130.0,130.0,82
20200803,111700,129.92,129.92,129.88,129.88,24
20200803,111800,130.0,130.16,130.0,130.16,57
20200803,111900,130.08,130.12,129.93,130.11,32
20200803,112000,130.04,130.1,129.9,130.06,136
20200803,112100,129.91,130.14,129.89,130.02,127
20200803,112200,130.14,130.14,130.14,130.14,13
20200803,112300,130.22,130.23,130.15,130.15,205
20200803,112400,130.32,130.44,130.32,130.32,183
20200803,112500,130.4,130.4,130.31,130.31,145
20200803,112600,130.42,130.57,130.42,130.57,218
20200803,112700,130.57,130.6,130.57,130.58,75
20200803,112800,130.91,130.91,130.8,130.8,232
20200803,112900,130.86,130.97,130.86,130.97,204
20200803,113000,130.97,131.0,130.97,131.0,188
20200803,130100,131.33,131.33,131.01,131.2,27
20200803,130200,131.3,131.34,131.29,131.33,176
20200803,130300,131.36,131.47,131.36,131.47,70
20200803,130400,131.48,131.5,131.48,131.5,282
20200803,130500,131.6,131.61,131.5,131.61,161
20200803,130600,131.82,131.82,131.61,131.62,206
20200803,130700,131.8,131.85,131.8,131.84,133
20200803,130800,131.84,132.2,131.84,132.2,163
20200803,130900,132.2,132.2,131.85,131.85,12
20200803,131000,131.85,131.85,131.85,131.85,8
20200803,131100,131.84,131.84,131.84,131.84,84
20200803,131200,131.93,132.09,131.92,132.09,105
20200803,131300,132.09,132.2,132.09,132.2,154
20200803,131400,132.19,132.19,132.15,132.15,170
20200803,131500,131.9,131.9,131.9,131.9,54
20200803,131600,131.9,131.9,131.52,131.52,35
20200803,131700,131.52,131.52,131.52,131.52,15
20200803,131900,131.52,131.52,131.52,131.52,2
20200803,132000,131.62,131.62,131.61,131.62,105
20200803,132200,131.63,131.63,131.5,131.5,57
20200803,132400,131.5,131.5,131.04,131.04,20
20200803,132500,131.06,131.06,131.06,131.06,5
20200803,132600,131.26,131.3,131.26,131.3,64
20200803,132800,131.37,131.71,131.37,131.71,4
20200803,132900,131.71,131.71,131.3,131.3,12
20200803,133100,131.46,131.46,130.87,130.87,13
20200803,133200,130.92,131.39,130.92,131.39,39
20200803,133300,131.52,131.52,131.52,131.52,3
20200803,133500,131.45,131.45,131.45,131.45,1
20200803,133600,131.56,131.56,131.56,131.56,6
20200803,133700,131.57,131.57,131.55,131.57,23
20200803,133800,131.51,131.52,131.51,131.52,9
20200803,133900,131.56,131.57,131.42,131.42,29
20200803,134000,131.42,131.42,131.42,131.42,2
20200803,134100,131.49,131.49,131.49,131.49,5
20200803,134500,131.42,131.42,131.42,131.42,17
20200803,134600,131.43,131.43,131.43,131.43,6
20200803,134900,131.42,131.42,131.42,131.42,68
20200803,135100,131.42,131.42,131.39,131.39,27
20200803,135200,131.39,131.39,131.39,131.39,20
20200803,135300,131.56,131.56,131.56,131.56,12
20200803,135500,131.39,131.4,131.39,131.39,186
20200803,135600,131.39,131.56,131.39,131.56,126
20200803,135700,131.71,131.87,131.71,131.87,28
20200803,140000,131.61,131.61,131.61,131.61,5
20200803,140200,131.61,131.61,131.61,131.61,16
20200803,140300,131.6,131.61,131.6,131.6,13
20200803,140400,131.6,131.6,131.6,131.6,10
20200803,140600,131.6,131.6,131.6,131.6,11
20200803,140700,131.6,131.6,131.6,131.6,40
20200803,140800,131.61,131.61,131.61,131.61,41
20200803,140900,131.61,131.61,131.61,131.61,4
20200803,141100,131.6,131.6,131.6,131.6,4
20200803,141300,131.6,131.6,131.6,131.6,93
20200803,141400,131.68,131.68,131.6,131.6,157
20200803,141500,131.6,131.6,131.6,131.6,1
20200803,141700,131.6,131.6,131.6,131.6,64
20200803,141800,131.67,131.7,131.67,131.7,195
20200803,141900,131.67,131.67,131.67,131.67,118
20200803,142000,131.67,131.7,131.67,131.67,190
20200803,142100,131.7,131.7,131.6,131.6,257
20200803,142200,131.6,131.6,131.6,131.6,46
20200803,142700,131.59,131.59,131.59,131.59,5
20200803,142900,131.26,131.29,131.26,131.29,61
20200803,143000,131.31,131.31,131.31,131.31,15
20200803,143100,131.32,131.32,131.02,131.05,141
20200803,143300,131.23,131.23,131.22,131.22,27
20200803,143400,131.22,131.3,131.21,131.3,39
20200803,143500,131.28,131.28,131.1,131.2,270
20200803,143600,131.12,131.12,131.12,131.12,15
20200803,143900,131.15,131.15,131.15,131.15,10
20200803,144000,131.16,131.16,131.13,131.13,42
20200803,144100,131.28,131.28,131.28,131.28,72
20200803,144200,131.28,131.28,131.28,131.28,35
20200803,144300,131.31,131.31,131.31,131.31,13
20200803,144400,131.3,131.3,131.3,131.3,1
20200803,144500,131.3,131.3,131.3,131.3,6
20200803,144600,131.3,131.3,131.3,131.3,10
20200803,144700,131.55,131.6,131.55,131.55,821
20200803,144800,131.55,131.55,131.55,131.55,30
20200803,144900,131.55,131.55,131.55,131.55,1
20200803,145000,131.51,131.51,131.51,131.51,310
20200803,145200,131.49,131.49,131.32,131.32,76
20200803,145300,131.55,131.55,131.55,131.55,70
20200803,145400,131.55,131.7,131.55,131.7,162
20200803,145500,131.7,131.75,131.7,131.7,62
20200803,145600,131.55,131.75,131.55,131.75,196
20200803,145700,131.8,131.9,131.8,131.9,150
20200803,145800,131.9,131.92,131.9,131.9,57
20200803,145900,131.9,131.9,131.9,131.9,3
20200803,150000,131.92,131.92,131.91,131.91,7
20200804,93100,132.0,132.0,132.0,132.0,93
20200804,93200,132.2,132.78,132.2,132.78,23
20200804,93400,132.7,132.7,132.7,132.7,50
20200804,93500,132.03,132.66,132.03,132.66,21
20200804,93600,132.01,132.01,132.01,132.01,5
20200804,93700,132.03,132.39,132.03,132.39,4
20200804,93800,132.27,132.36,132.27,132.36,11
20200804,93900,132.0,132.0,132.0,132.0,26
20200804,94000,132.0,132.0,131.97,131.97,122
20200804,94100,131.97,132.0,131.97,132.0,250
20200804,94200,132.0,132.0,131.72,131.72,203
20200804,94300,131.71,132.0,131.71,132.0,130
20200804,94400,132.0,132.64,132.0,132.64,121
20200804,94500,132.29,132.29,132.04,132.05,11
20200804,94600,132.29,132.29,131.51,131.99,218
20200804,94700,131.77,131.9,131.77,131.89,166
20200804,94800,131.89,131.89,131.77,131.77,275
20200804,94900,131.53,131.89,131.53,131.89,199
20200804,95000,131.9,132.0,131.9,132.0,196
20200804,95100,132.0,132.01,131.91,132.0,203
20200804,95200,132.0,132.0,132.0,132.0,189
20200804,95300,132.0,132.59,132.0,132.59,220
20200804,95400,132.11,132.2,132.11,132.2,6
20200804,95500,132.0,132.09,132.0,132.09,11
20200804,95600,132.12,132.12,132.12,132.12,23
20200804,95700,131.91,131.91,131.91,131.91,26
20200804,95800,132.08,132.08,132.08,132.08,1
20200804,95900,132.08,132.08,131.91,132.08,7
20200804,100000,131.91,132.17,131.91,132.13,96
20200804,100200,131.94,131.94,131.94,131.94,1
20200804,100300,131.68,131.68,131.67,131.67,4
20200804,100400,131.67,131.67,131.67,131.67,1
20200804,100500,131.65,131.65,131.4,131.4,56
20200804,100600,131.58,131.58,131.58,131.58,2
20200804,100700,131.38,131.38,131.37,131.37,4
20200804,100800,131.35,131.35,131.35,131.35,1
20200804,100900,131.31,131.31,131.11,131.11,7
20200804,101000,131.19,131.27,131.19,131.26,28
20200804,101100,131.38,131.58,131.36,131.58,17
20200804,101200,131.39,131.39,131.13,131.13,7
20200804,101300,131.39,131.4,131.39,131.4,2
20200804,101500,131.41,131.41,131.15,131.15,31
20200804,101600,131.36,131.36,131.34,131.34,2
20200804,101700,131.14,131.32,131.11,131.32,39
20200804,101800,131.33,131.33,131.33,131.33,1
20200804,101900,131.31,131.31,131.31,131.31,1
20200804,102000,131.31,131.31,131.31,131.31,1
20200804,102100,131.11,131.29,131.11,131.29,23
20200804,102200,131.1,131.1,131.01,131.01,189
20200804,102300,131.01,131.01,131.0,131.0,12
20200804,102400,130.9,130.9,130.86,130.86,2
20200804,102500,130.85,130.85,130.85,130.85,1
20200804,102600,130.83,130.86,130.83,130.84,12
20200804,102700,130.84,130.96,130.72,130.82,62
20200804,102800,130.83,130.83,130.7,130.7,128
20200804,102900,130.83,130.83,130.83,130.83,1
20200804,103000,130.82,130.96,130.8,130.82,15
20200804,103100,130.82,130.82,130.82,130.82,1
20200804,103200,130.82,130.82,130.82,130.82,7
20200804,103300,130.97,130.98,130.97,130.98,4
20200804,103400,130.96,130.96,130.96,130.96,1
20200804,103500,130.96,130.96,130.96,130.96,1
20200804,103600,130.96,131.18,130.96,131.18,233
20200804,103700,131.01,131.01,131.01,131.01,1
20200804,103800,130.99,130.99,130.99,130.99,1
20200804,103900,130.99,130.99,130.99,130.99,1
20200804,104000,130.99,130.99,130.99,130.99,1
20200804,104100,130.99,130.99,130.99,130.99,1
20200804,104200,131.1,131.1,130.99,130.99,14
20200804,104300,130.97,130.99,130.97,130.99,2
20200804,104500,131.2,131.3,131.1,131.3,376
20200804,104600,131.38,131.43,131.38,131.43,2
20200804,104700,131.1,131.36,131.1,131.36,365
20200804,104800,131.35,131.35,131.35,131.35,1
20200804,104900,131.1,131.33,131.1,131.33,110
20200804,105000,131.1,131.29,131.1,131.29,4
20200804,105100,131.27,131.27,131.27,131.27,1
20200804,105200,131.26,131.27,131.1,131.27,104
20200804,105300,131.27,131.27,131.27,131.27,1
20200804,105400,131.24,131.24,131.24,131.24,1
20200804,105500,131.24,131.32,131.24,131.32,153
20200804,105600,131.32,131.32,131.32,131.32,33
20200804,105700,131.31,131.31,131.31,131.31,1
20200804,105800,131.19,131.31,131.19,131.31,34
20200804,105900,131.31,131.31,131.31,131.31,1
20200804,110000,131.31,131.31,131.31,131.31,1
20200804,110100,131.31,131.31,131.31,131.31,1
20200804,110200,131.31,131.31,131.1,131.1,66
20200804,110300,131.1,131.1,131.06,131.06,2
20200804,110400,131.06,131.06,131.06,131.06,1
20200804,110500,131.05,131.05,131.05,131.05,1
20200804,110600,131.05,131.05,131.05,131.05,1
20200804,110700,131.01,131.01,131.01,131.01,1
20200804,110800,130.81,131.0,130.81,131.0,4
20200804,110900,131.0,131.0,131.0,131.0,11
20200804,111000,130.98,130.98,130.98,130.98,1
20200804,111100,130.98,130.98,130.8,130.81,10
20200804,111200,130.96,130.96,130.96,130.96,2
20200804,111300,130.95,130.95,130.95,130.95,1
20200804,111400,130.81,131.07,130.81,130.93,52
