<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200731,143900,112.66,112.66,112.66,112.66,39
20200731,144800,112.72,112.72,112.67,112.67,22
20200731,145000,112.72,112.72,112.72,112.72,40
20200731,145200,112.68,112.68,112.67,112.67,54
20200731,145300,112.78,112.78,112.78,112.78,2
20200731,145600,112.69,112.69,112.69,112.69,3
20200731,150000,112.69,112.69,112.69,112.69,0
20200803,93100,113.09,113.09,113.09,113.09,1
20200803,93200,112.91,112.91,112.91,112.91,18
20200803,93400,112.79,113.01,112.79,113.01,9
20200803,93500,113.0,113.0,113.0,113.0,2
20200803,93600,113.0,113.0,113.0,113.0,1
20200803,93700,113.0,113.0,113.0,113.0,1
20200803,93800,113.0,113.0,113.0,113.0,4
20200803,93900,113.0,113.07,113.0,113.07,9
20200803,94000,113.0,113.0,113.0,113.0,2
20200803,94100,113.0,113.0,113.0,113.0,1
20200803,94200,113.08,113.08,113.08,113.08,3
20200803,94300,113.08,113.2,113.08,113.18,45
20200803,94400,113.09,113.1,113.09,113.1,2
20200803,94500,113.25,113.25,113.11,113.11,66
20200803,94600,113.11,113.11,113.11,113.11,6
20200803,94700,113.11,113.11,113.11,113.11,1
20200803,94800,113.11,113.11,113.11,113.11,1
20200803,94900,113.11,113.11,113.11,113.11,1
20200803,95000,113.35,113.35,113.35,113.35,34
20200803,95100,113.35,113.35,113.13,113.13,17
20200803,95200,113.14,113.14,113.1,113.1,29
20200803,95400,113.13,113.13,113.13,113.13,1
20200803,95500,113.13,113.13,113.13,113.13,1
20200803,95600,113.33,113.33,113.16,113.16,31
20200803,95700,113.38,113.38,113.35,113.38,526
20200803,95800,113.39,113.39,113.35,113.35,64
20200803,95900,113.41,113.41,113.41,113.41,1
20200803,100000,113.4,113.4,113.4,113.4,133
20200803,100100,113.41,113.54,113.35,113.35,491
20200803,100200,113.49,113.49,113.13,113.13,2
20200803,100300,113.14,113.43,113.14,113.43,25
20200803,100400,113.14,113.14,113.14,113.14,10
20200803,100500,113.14,113.14,113.13,113.13,16
20200803,100600,113.13,113.13,113.13,113.13,1
20200803,100700,113.14,113.14,113.14,113.14,1
20200803,100900,113.14,113.14,113.14,113.14,3
20200803,101000,113.14,113.14,113.14,113.14,1
20200803,101100,113.14,113.14,113.14,113.14,1
20200803,101200,113.14,113.14,113.14,113.14,20
20200803,101300,113.13,113.13,113.13,113.13,11
20200803,101400,113.13,113.13,113.13,113.13,1
20200803,101500,113.13,113.13,113.13,113.13,1
20200803,101700,113.13,113.13,113.13,113.13,1
20200803,101800,113.13,113.13,113.13,113.13,1
20200803,101900,113.13,113.13,113.13,113.13,1
20200803,102100,113.13,113.13,113.13,113.13,45
20200803,102200,113.08,113.08,113.08,113.08,1
20200803,102400,113.08,113.08,113.08,113.08,1
20200803,102500,113.08,113.08,113.08,113.08,1
20200803,102600,113.08,113.08,113.08,113.08,1
20200803,102700,113.08,113.08,113.08,113.08,8
20200803,102800,113.01,113.01,113.01,113.01,1
20200803,102900,113.01,113.08,113.01,113.08,11
20200803,103000,113.24,113.24,113.04,113.04,5
20200803,103200,113.03,113.03,113.03,113.03,5
20200803,103300,113.03,113.03,113.03,113.03,1
20200803,103400,113.03,113.03,113.03,113.03,1
20200803,103600,113.03,113.03,113.03,113.03,1
20200803,103700,113.15,113.16,113.15,113.16,46
20200803,103800,113.16,113.16,113.15,113.16,23
20200803,103900,113.16,113.16,113.16,113.16,1
20200803,104000,113.16,113.16,113.16,113.16,1
20200803,104100,113.18,113.2,113.18,113.2,2
20200803,104300,113.2,113.2,113.2,113.2,1
20200803,104400,113.2,113.2,113.2,113.2,1
20200803,104500,113.2,113.2,113.15,113.15,36
20200803,104600,113.15,113.15,113.15,113.15,14
20200803,104700,113.05,113.05,113.05,113.05,2
20200803,104800,113.06,113.06,113.06,113.06,1
20200803,104900,113.09,113.09,113.09,113.09,1
20200803,105000,113.22,113.22,113.22,113.22,10
20200803,105100,113.22,113.22,113.14,113.14,7
20200803,105200,113.13,113.13,113.13,113.13,7
20200803,105300,113.43,113.43,113.43,113.43,5
20200803,105400,113.15,113.15,113.15,113.15,1
20200803,105500,113.15,113.16,113.13,113.13,10
20200803,105600,113.12,113.37,113.08,113.08,7
20200803,105700,113.09,113.09,113.09,113.09,3
20200803,105800,113.08,113.08,113.08,113.08,8
20200803,105900,113.06,113.27,113.06,113.27,2
20200803,110000,113.26,113.26,113.16,113.16,13
20200803,110100,113.27,113.27,113.27,113.27,3
20200803,110200,113.18,113.18,113.18,113.18,1
20200803,110300,113.25,113.25,113.18,113.18,2
20200803,110400,113.18,113.27,113.18,113.27,13
20200803,110800,113.27,113.27,113.27,113.27,126
20200803,111300,113.4,113.4,113.4,113.4,4
20200803,111500,113.28,113.5,113.28,113.5,903
20200803,111600,113.4,113.4,113.4,113.4,1
20200803,111700,113.4,113.4,113.4,113.4,2
20200803,111900,113.29,113.29,113.29,113.29,18
